FusionGene	Gene1	Gene1_Chromosome	Gene1_StartPosition	Gene1_EndPosition	Gene2	Gene2_Chromosome	Gene2_StartPosition	Gene2_EndPosition	Gene3	Gene3_Chromosome	Gene3_StartPosition	Gene3_EndPosition
ENSG00000069329.18-ENSG00000253327.2	ENSG00000069329.18	chr16	46682883	46689153	ENSG00000253327.2	chr8	116874425	116875935				
ENSG00000070413.20-ENSG00000206739.1	ENSG00000070413.20	chr22	19056987	19057026	ENSG00000206739.1	chr22	19045257	19045319				
ENSG00000072609.18-ENSG00000278949.1	ENSG00000072609.18	chr12	132872286	132887364	ENSG00000278949.1	chr12	132865856	132866911				
ENSG00000073536.18-ENSG00000073536.18	ENSG00000073536.18	chr17	35137544	35142273	ENSG00000073536.18	chr17	35137544	35142273				
ENSG00000074211.14-ENSG00000074211.14	ENSG00000074211.14	chr4	6378408	6381789	ENSG00000074211.14	chr4	6378408	6381789				
ENSG00000074219.14-ENSG00000236172.7	ENSG00000074219.14	chr19	49359436	49362389	ENSG00000236172.7	chr2	6633839	6635622				
ENSG00000076554.16-ENSG00000197462.3-ENSG00000141576.16	ENSG00000076554.16	chr8	80051528	80080528	ENSG00000197462.3	chr7	125917872	125933820	ENSG00000141576.16	chr17	76142475.0	76167078.0
ENSG00000077684.16-ENSG00000223768.4	ENSG00000077684.16	chr4	128809704	128846490	ENSG00000223768.4	chr21	45288038	45291218				
ENSG00000078699.22-ENSG00000078699.22	ENSG00000078699.22	chr20	33562335	33607045	ENSG00000078699.22	chr20	33562335	33607045				
ENSG00000082641.16-ENSG00000251573.2-ENSG00000235257.11	ENSG00000082641.16	chr17	48048774	48057109	ENSG00000251573.2	chr5	50969218	50969275	ENSG00000235257.11	chr3	37808469.0	37834924.0
ENSG00000085978.22-ENSG00000085978.22	ENSG00000085978.22	chr2	233251702	233265044	ENSG00000085978.22	chr2	233251702	233265044				
ENSG00000087053.20-ENSG00000222578.1	ENSG00000087053.20	chr11	95888157	95910755	ENSG00000222578.1	chr11	95840018	95840034				
ENSG00000087266.17-ENSG00000147854.17	ENSG00000087266.17	chr4	2832346	2832923	ENSG00000147854.17	chr9	6497050	6498105				
ENSG00000089094.20-ENSG00000094631.22-ENSG00000186409.19	ENSG00000089094.20	chr12	121578803	121580036	ENSG00000094631.22	chrX	48822913	48824697	ENSG00000186409.19	chr1	42539174.0	42545458.0
ENSG00000089169.15-ENSG00000283507.1	ENSG00000089169.15	chr12	112575234	112792254	ENSG00000283507.1	chr12	112695035	112695086				
ENSG00000090061.17-ENSG00000090061.17	ENSG00000090061.17	chr14	99481413	99493592	ENSG00000090061.17	chr14	99481413	99493592				
ENSG00000090061.17-ENSG00000205476.9	ENSG00000090061.17	chr14	99481170	99493562	ENSG00000205476.9	chr14	99500191	99522201				
ENSG00000090565.17-ENSG00000167207.15	ENSG00000090565.17	chr16	510454	510641	ENSG00000167207.15	chr16	50731748	50732567				
ENSG00000095066.12-ENSG00000172270.22	ENSG00000095066.12	chr19	12766104	12768039	ENSG00000172270.22	chr19	582307	582820				
ENSG00000095261.14-ENSG00000281649.3	ENSG00000095261.14	chr9	120821356	120842886	ENSG00000281649.3	chr9	37086669	37087147				
ENSG00000095303.17-ENSG00000233616.2	ENSG00000095303.17	chr9	122375323	122378534	ENSG00000233616.2	chr9	122400971	122402876				
ENSG00000095981.11-ENSG00000164627.18	ENSG00000095981.11	chr6	39316783	39322372	ENSG00000164627.18	chr6	39329991	39345738				
ENSG00000096063.16-ENSG00000096063.16	ENSG00000096063.16	chr6	35870282	35921138	ENSG00000096063.16	chr6	35870282	35921138				
ENSG00000096093.16-ENSG00000096093.16	ENSG00000096093.16	chr6	52420306	52454230	ENSG00000096093.16	chr6	52420306	52454230				
ENSG00000100075.10-ENSG00000100034.14	ENSG00000100075.10	chr22	19176847	19178727	ENSG00000100034.14	chr22	21919428	21934079				
ENSG00000100413.17-ENSG00000189306.11	ENSG00000100413.17	chr22	41544429	41544454	ENSG00000189306.11	chr22	42514678	42514716				
ENSG00000100479.14-ENSG00000100479.14	ENSG00000100479.14	chr14	49651270	49651280	ENSG00000100479.14	chr14	49651270	49651280				
ENSG00000101158.15-ENSG00000101266.19	ENSG00000101158.15	chr20	58981209	58986115	ENSG00000101266.19	chr20	504167	508471				
ENSG00000101444.13-ENSG00000101444.13	ENSG00000101444.13	chr20	34294082	34311508	ENSG00000101444.13	chr20	34294082	34311508				
ENSG00000102001.13-ENSG00000102001.13	ENSG00000102001.13	chrX	49222930	49222954	ENSG00000102001.13	chrX	49222930	49222954				
ENSG00000102312.24-ENSG00000221910.3-ENSG00000237037.9	ENSG00000102312.24	chrX	48509032	48514350	ENSG00000221910.3	chr7	143935234	143936150	ENSG00000237037.9	chr22	42124876.0	42124953.0
ENSG00000102317.18-ENSG00000131089.17	ENSG00000102317.18	chrX	48574537	48575184	ENSG00000131089.17	chrX	63635016	63706428				
ENSG00000102743.16-ENSG00000207652.1	ENSG00000102743.16	chr13	40789612	40810159	ENSG00000207652.1	chr13	40810767	40810786				
ENSG00000102977.18-ENSG00000233445.1-ENSG00000251249.2	ENSG00000102977.18	chr16	67657513	67658941	ENSG00000233445.1	chr2	233721523	233721888	ENSG00000251249.2	chr4	151956191.0	151957246.0
ENSG00000103415.12-ENSG00000103160.12	ENSG00000103415.12	chr16	4496147	4509430	ENSG00000103160.12	chr16	84122142	84123387				
ENSG00000103540.17-ENSG00000103544.17	ENSG00000103540.17	chr16	19523943	19552010	ENSG00000103544.17	chr16	19575099	19579096				
ENSG00000104343.21-ENSG00000066827.16	ENSG00000104343.21	chr8	73830382	73830435	ENSG00000066827.16	chr8	134477793	134637601				
ENSG00000104738.19-ENSG00000104738.19	ENSG00000104738.19	chr8	47969687	47970024	ENSG00000104738.19	chr8	47969687	47970024				
ENSG00000104907.13-ENSG00000278916.1-ENSG00000267448.6	ENSG00000104907.13	chr19	13112706	13116687	ENSG00000278916.1	chr12	94460004	94460471	ENSG00000267448.6	chr19	3296766.0	3306878.0
ENSG00000104957.14-ENSG00000104518.11	ENSG00000104957.14	chr19	13731768	13757825	ENSG00000104518.11	chr8	143558683	143561752				
ENSG00000105011.9-ENSG00000125755.19	ENSG00000105011.9	chr19	14121533	14136400	ENSG00000125755.19	chr19	45848764	45852376				
ENSG00000105339.11-ENSG00000022567.10	ENSG00000105339.11	chr8	141128622	141141275	ENSG00000022567.10	chr8	141207167	141215826				
ENSG00000105372.8-ENSG00000214078.13-ENSG00000283103.5	ENSG00000105372.8	chr19	41860279	41861150	ENSG00000214078.13	chr20	35630909	35632809	ENSG00000283103.5	chr19	58310353.0	58313011.0
ENSG00000105613.10-ENSG00000164011.18	ENSG00000105613.10	chr19	12847426	12852344	ENSG00000164011.18	chr1	42849556	42851697				
ENSG00000105711.14-ENSG00000105063.19	ENSG00000105711.14	chr19	35031302	35031408	ENSG00000105063.19	chr19	55229781	55232702				
ENSG00000105819.15-ENSG00000214097.5-ENSG00000143633.13	ENSG00000105819.15	chr7	103297421	103298678	ENSG00000214097.5	chr3	196506880	196509594	ENSG00000143633.13	chr1	231223764.0	231241133.0
ENSG00000105889.16-ENSG00000075303.13	ENSG00000105889.16	chr7	22492393	22500138	ENSG00000075303.13	chr7	87833569	87860574				
ENSG00000106070.20-ENSG00000106070.20	ENSG00000106070.20	chr7	50780628	50781352	ENSG00000106070.20	chr7	50780628	50781352				
ENSG00000106617.15-ENSG00000155511.19	ENSG00000106617.15	chr7	151876508	151876566	ENSG00000155511.19	chr5	153811026	153811436				
ENSG00000106628.13-ENSG00000136297.15	ENSG00000106628.13	chr7	44117585	44123530	ENSG00000136297.15	chr7	4909735	4920217				
ENSG00000106692.15-ENSG00000082898.19	ENSG00000106692.15	chr9	105573654	105596642	ENSG00000082898.19	chr2	61477690	61478609				
ENSG00000106829.21-ENSG00000228714.4	ENSG00000106829.21	chr9	79572639	79573741	ENSG00000228714.4	chr9	115324933	115741520				
ENSG00000107872.14-ENSG00000107874.11	ENSG00000107872.14	chr10	102419815	102421110	ENSG00000107874.11	chr10	102423246	102423977				
ENSG00000108094.17-ENSG00000085788.14	ENSG00000108094.17	chr10	35025133	35035436	ENSG00000085788.14	chr8	38245743	38249738				
ENSG00000108231.14-ENSG00000108231.14	ENSG00000108231.14	chr10	93757939	93757942	ENSG00000108231.14	chr10	93757939	93757942				
ENSG00000108312.16-ENSG00000260793.4	ENSG00000108312.16	chr17	44215907	44218426	ENSG00000260793.4	chr17	44221370	44222888				
ENSG00000108576.10-ENSG00000132002.9	ENSG00000108576.10	chr17	30203173	30203217	ENSG00000132002.9	chr19	14514784	14529257				
ENSG00000108604.18-ENSG00000240280.7	ENSG00000108604.18	chr17	63835413	63837480	ENSG00000240280.7	chr17	63854797	63862402				
ENSG00000109184.15-ENSG00000109184.15	ENSG00000109184.15	chr4	51843062	51843231	ENSG00000109184.15	chr4	51843062	51843231				
ENSG00000109654.16-ENSG00000288637.1	ENSG00000109654.16	chr4	153204464	153324112	ENSG00000288637.1	chr4	153294306	153414820				
ENSG00000109736.15-ENSG00000109113.20-ENSG00000213024.13	ENSG00000109736.15	chr4	2932601	2933860	ENSG00000109113.20	chr17	28714285	28716010	ENSG00000213024.13	chr19	49907707.0	49907955.0
ENSG00000109861.17-ENSG00000213619.11	ENSG00000109861.17	chr11	88337502	88337667	ENSG00000213619.11	chr11	47580526	47580902				
ENSG00000109971.14-ENSG00000095209.12	ENSG00000109971.14	chr11	123057490	123062104	ENSG00000095209.12	chr9	105748074	105775394				
ENSG00000110002.16-ENSG00000237250.3	ENSG00000110002.16	chr11	124115405	124123454	ENSG00000237250.3	chr1	237862176	237927253				
ENSG00000110514.20-ENSG00000256746.5	ENSG00000110514.20	chr11	47269675	47275977	ENSG00000256746.5	chr11	47270658	47270902				
ENSG00000110777.12-ENSG00000189145.7	ENSG00000110777.12	chr11	111404622	111449936	ENSG00000189145.7	chrX	40907988	40908016				
ENSG00000110881.12-ENSG00000261427.6	ENSG00000110881.12	chr12	50073576	50080523	ENSG00000261427.6	chr16	19172761	19173521				
ENSG00000111300.10-ENSG00000139197.11	ENSG00000111300.10	chr12	112047666	112108721	ENSG00000139197.11	chr12	7199012	7210067				
ENSG00000111725.11-ENSG00000111725.11	ENSG00000111725.11	chr12	119668165	119671506	ENSG00000111725.11	chr12	119668165	119671506				
ENSG00000111727.12-ENSG00000111596.14	ENSG00000111727.12	chr12	104090924	104097667	ENSG00000111596.14	chr12	70310896	70329468				
ENSG00000111961.19-ENSG00000217824.1	ENSG00000111961.19	chr6	148513438	148514360	ENSG00000217824.1	chr6	148567379	148567387				
ENSG00000112078.14-ENSG00000112078.14	ENSG00000112078.14	chr6	36443013	36443033	ENSG00000112078.14	chr6	36443013	36443033				
ENSG00000112280.18-ENSG00000253809.1	ENSG00000112280.18	chr6	70234795	70282965	ENSG00000253809.1	chr6	70222759	70242057				
ENSG00000112473.19-ENSG00000112473.19	ENSG00000112473.19	chr6	33200827	33203094	ENSG00000112473.19	chr6	33200827	33203094				
ENSG00000113494.17-ENSG00000198917.13	ENSG00000113494.17	chr5	35230269	35230423	ENSG00000198917.13	chr9	128822799	128824123				
ENSG00000113569.16-ENSG00000145675.16	ENSG00000113569.16	chr5	37341091	37370671	ENSG00000145675.16	chr5	68296172	68296635				
ENSG00000113648.17-ENSG00000079215.15	ENSG00000113648.17	chr5	135370037	135399073	ENSG00000079215.15	chr5	36679628	36679719				
ENSG00000113758.14-ENSG00000284906.3-ENSG00000147041.12	ENSG00000113758.14	chr5	177460433	177473459	ENSG00000284906.3	chr15	30634171	30768946	ENSG00000147041.12	chrX	38108601.0	38127682.0
ENSG00000114302.17-ENSG00000114374.13	ENSG00000114302.17	chr3	48807650	48847457	ENSG00000114374.13	chrY	12709389	12859888				
ENSG00000114638.8-ENSG00000121578.13	ENSG00000114638.8	chr3	119173601	119190298	ENSG00000121578.13	chr3	119211733	119216278				
ENSG00000114786.16-ENSG00000260995.3-ENSG00000165806.21	ENSG00000114786.16	chr3	51975062	51978341	ENSG00000260995.3	chr9	79135423	79135836	ENSG00000165806.21	chr10	113726306.0	113730612.0
ENSG00000114867.22-ENSG00000275389.1-ENSG00000184584.14	ENSG00000114867.22	chr3	184314607	184315545	ENSG00000275389.1	chr12	124085762	124087617	ENSG00000184584.14	chr5	139475772.0	139475779.0
ENSG00000114942.14-ENSG00000114942.14	ENSG00000114942.14	chr2	206159637	206160991	ENSG00000114942.14	chr2	206159637	206160991				
ENSG00000115652.15-ENSG00000228363.2	ENSG00000115652.15	chr2	106100774	106104818	ENSG00000228363.2	chr2	86562847	86617346				
ENSG00000116044.17-ENSG00000116044.17	ENSG00000116044.17	chr2	177230670	177392592	ENSG00000116044.17	chr2	177230670	177392592				
ENSG00000117481.11-ENSG00000117481.11	ENSG00000117481.11	chr1	46341188	46352989	ENSG00000117481.11	chr1	46341188	46352989				
ENSG00000117523.18-ENSG00000227372.12	ENSG00000117523.18	chr1	171485552	171522232	ENSG00000227372.12	chr1	3737194	3740009				
ENSG00000117758.14-ENSG00000159176.14	ENSG00000117758.14	chr1	27773220	27810274	ENSG00000159176.14	chr1	201483533	201492415				
ENSG00000119314.16-ENSG00000226711.9	ENSG00000119314.16	chr9	112224134	112333565	ENSG00000226711.9	chr12	8188473	8216013				
ENSG00000119537.18-ENSG00000086300.17	ENSG00000119537.18	chr18	63367012	63367047	ENSG00000086300.17	chr7	26371822	26374164				
ENSG00000119682.18-ENSG00000119682.18	ENSG00000119682.18	chr14	74667320	74713039	ENSG00000119682.18	chr14	74667320	74713039				
ENSG00000119720.18-ENSG00000245910.9-ENSG00000108465.15	ENSG00000119720.18	chr14	90286355	90331844	ENSG00000245910.9	chr8	66920562	66922629	ENSG00000108465.15	chr17	47973932.0	47974103.0
ENSG00000119899.13-ENSG00000146223.16	ENSG00000119899.13	chr6	73636622	73653935	ENSG00000146223.16	chr6	42880862	42881292				
ENSG00000120708.17-ENSG00000120708.17	ENSG00000120708.17	chr5	136047325	136049550	ENSG00000120708.17	chr5	136047325	136049550				
ENSG00000121281.13-ENSG00000188801.9	ENSG00000121281.13	chr16	50304395	50309141	ENSG00000188801.9	chr9	97198304	97199358				
ENSG00000121653.11-ENSG00000119686.10-ENSG00000167395.10	ENSG00000121653.11	chr11	45901934	45902049	ENSG00000119686.10	chr14	75579585	75663196	ENSG00000167395.10	chr16	31075903.0	31077140.0
ENSG00000122218.17-ENSG00000120438.12	ENSG00000122218.17	chr1	160293167	160343190	ENSG00000120438.12	chr6	159778988	159780539				
ENSG00000122741.16-ENSG00000232454.2	ENSG00000122741.16	chr9	37800798	37842193	ENSG00000232454.2	chr9	37836045	37836244				
ENSG00000125124.14-ENSG00000125124.14	ENSG00000125124.14	chr16	56502674	56520042	ENSG00000125124.14	chr16	56502674	56520042				
ENSG00000125257.16-ENSG00000289887.1	ENSG00000125257.16	chr13	95075433	95148957	ENSG00000289887.1	chr13	95273964	95278186				
ENSG00000125898.13-ENSG00000234948.2	ENSG00000125898.13	chr20	833716	833873	ENSG00000234948.2	chr20	52621863	52650282				
ENSG00000125912.11-ENSG00000158445.10	ENSG00000125912.11	chr19	3206423	3206425	ENSG00000158445.10	chr20	49451334	49481937				
ENSG00000126217.22-ENSG00000126217.22	ENSG00000126217.22	chr13	112968501	113045298	ENSG00000126217.22	chr13	112968501	113045298				
ENSG00000126858.19-ENSG00000266282.1	ENSG00000126858.19	chr17	32211117	32225130	ENSG00000266282.1	chr17	32227891	32227937				
ENSG00000127054.22-ENSG00000127054.22	ENSG00000127054.22	chr1	1320457	1320503	ENSG00000127054.22	chr1	1320457	1320503				
ENSG00000128268.12-ENSG00000128268.12	ENSG00000128268.12	chr22	39477514	39486185	ENSG00000128268.12	chr22	39477514	39486185				
ENSG00000130396.22-ENSG00000096070.19-ENSG00000104218.16	ENSG00000130396.22	chr6	167915402	167918906	ENSG00000096070.19	chr6	36213881	36230525	ENSG00000104218.16	chr8	67172417.0	67195810.0
ENSG00000130702.15-ENSG00000228812.9	ENSG00000130702.15	chr20	62351910	62351980	ENSG00000228812.9	chr20	62356193	62356228				
ENSG00000130714.19-ENSG00000151694.15-ENSG00000185798.8	ENSG00000130714.19	chr9	131502951	131518885	ENSG00000151694.15	chr2	9499439	9526195	ENSG00000185798.8	chr3	196554195.0	196554390.0
ENSG00000130985.17-ENSG00000224975.1	ENSG00000130985.17	chrX	47191424	47199088	ENSG00000224975.1	chrX	47204922	47205505				
ENSG00000131037.15-ENSG00000125503.13	ENSG00000131037.15	chr19	55084466	55085934	ENSG00000125503.13	chr19	55090915	55091864				
ENSG00000131771.14-ENSG00000131771.14	ENSG00000131771.14	chr17	39629375	39629987	ENSG00000131771.14	chr17	39629375	39629987				
ENSG00000131781.13-ENSG00000250166.4	ENSG00000131781.13	chr1	147208853	147225327	ENSG00000250166.4	chr12	22409274	22468808				
ENSG00000131828.14-ENSG00000131828.14	ENSG00000131828.14	chrX	19343921	19358982	ENSG00000131828.14	chrX	19343921	19358982				
ENSG00000132003.10-ENSG00000078699.22-ENSG00000067596.12	ENSG00000132003.10	chr19	13817700	13823461	ENSG00000078699.22	chr20	33644348	33647210	ENSG00000067596.12	chr17	43490392.0	43490409.0
ENSG00000132122.12-ENSG00000179082.4	ENSG00000132122.12	chr1	48355446	48359629	ENSG00000179082.4	chr9	129321017	129321514				
ENSG00000132155.14-ENSG00000290072.1	ENSG00000132155.14	chr3	12584848	12663987	ENSG00000290072.1	chr3	12664311	12664388				
ENSG00000132600.18-ENSG00000259797.1	ENSG00000132600.18	chr16	68311064	68357139	ENSG00000259797.1	chr16	68318745	68318859				
ENSG00000134020.8-ENSG00000248538.10	ENSG00000134020.8	chr8	22927585	22941333	ENSG00000248538.10	chr8	9189349	9202802				
ENSG00000134326.12-ENSG00000170262.13-ENSG00000062485.19	ENSG00000134326.12	chr2	6861185	6865700	ENSG00000170262.13	chr21	32311685	32311714	ENSG00000062485.19	chr12	56286192.0	56291725.0
ENSG00000134460.19-ENSG00000251922.1	ENSG00000134460.19	chr10	6012846	6062194	ENSG00000251922.1	chr10	6017055	6017194				
ENSG00000134802.18-ENSG00000246273.9	ENSG00000134802.18	chr11	57426041	57427067	ENSG00000246273.9	chr11	9780377	9808103				
ENSG00000134802.18-ENSG00000252070.1	ENSG00000134802.18	chr11	57427063	57427085	ENSG00000252070.1	chr11	57450184	57450239				
ENSG00000134905.17-ENSG00000229586.2-ENSG00000225626.4	ENSG00000134905.17	chr13	110713138	110713196	ENSG00000229586.2	chr17	20481331	20483232	ENSG00000225626.4	chr9	69819828.0	69820267.0
ENSG00000135241.17-ENSG00000225612.2	ENSG00000135241.17	chr7	108502492	108526151	ENSG00000225612.2	chr7	155267529	155270837				
ENSG00000135679.27-ENSG00000135679.27	ENSG00000135679.27	chr12	68809213	68816882	ENSG00000135679.27	chr12	68809213	68816882				
ENSG00000136826.15-ENSG00000136826.15	ENSG00000136826.15	chr9	107484855	107489343	ENSG00000136826.15	chr9	107484855	107489343				
ENSG00000137074.20-ENSG00000130714.19	ENSG00000137074.20	chr9	32985972	33001610	ENSG00000130714.19	chr9	131522933	131523037				
ENSG00000137251.16-ENSG00000268416.1-ENSG00000242197.2	ENSG00000137251.16	chr6	54307967	54320618	ENSG00000268416.1	chr19	20746924	20748467	ENSG00000242197.2	chr4	40491734.0	40492000.0
ENSG00000137814.12-ENSG00000261822.1	ENSG00000137814.12	chr15	42559385	42561606	ENSG00000261822.1	chr15	42567032	42569880				
ENSG00000137860.12-ENSG00000036672.16-ENSG00000261821.2	ENSG00000137860.12	chr15	45252235	45253511	ENSG00000036672.16	chr11	119372979	119373515	ENSG00000261821.2	chr15	74365663.0	74366978.0
ENSG00000137941.17-ENSG00000137941.17	ENSG00000137941.17	chr1	83920524	83999020	ENSG00000137941.17	chr1	83920524	83999020				
ENSG00000138002.16-ENSG00000235267.1	ENSG00000138002.16	chr2	27446261	27489646	ENSG00000235267.1	chr2	27455157	27455784				
ENSG00000138101.20-ENSG00000144589.22	ENSG00000138101.20	chr2	25388262	25481653	ENSG00000144589.22	chr2	219601236	219601765				
ENSG00000138115.15-ENSG00000145216.17-ENSG00000172922.11	ENSG00000138115.15	chr10	95067530	95069452	ENSG00000145216.17	chr4	53379074	53461081	ENSG00000172922.11	chr11	65717710.0	65720305.0
ENSG00000139151.16-ENSG00000255648.1	ENSG00000139151.16	chr12	18713738	18738052	ENSG00000255648.1	chr12	18714796	18737593				
ENSG00000140105.18-ENSG00000224233.1	ENSG00000140105.18	chr14	100375512	100375559	ENSG00000224233.1	chr6	29181511	29182067				
ENSG00000140332.18-ENSG00000163216.7	ENSG00000140332.18	chr15	70055050	70055065	ENSG00000163216.7	chr1	153039849	153040728				
ENSG00000140465.15-ENSG00000140465.15	ENSG00000140465.15	chr15	74721592	74725519	ENSG00000140465.15	chr15	74721592	74725519				
ENSG00000141449.16-ENSG00000166401.15	ENSG00000141449.16	chr18	21242260	21477200	ENSG00000166401.15	chr18	63970120	63986629				
ENSG00000141556.22-ENSG00000197265.9-ENSG00000188227.14	ENSG00000141556.22	chr17	82939043	82941453	ENSG00000197265.9	chr8	30584504	30607102	ENSG00000188227.14	chr19	37507219.0	37534631.0
ENSG00000142156.16-ENSG00000237945.9	ENSG00000142156.16	chr21	45987110	45987624	ENSG00000237945.9	chr21	33931164	33938240				
ENSG00000142675.18-ENSG00000200839.1	ENSG00000142675.18	chr1	26177513	26185087	ENSG00000200839.1	chr1	51973411	51973526				
ENSG00000143494.16-ENSG00000143494.16	ENSG00000143494.16	chr1	212950636	212950680	ENSG00000143494.16	chr1	212950636	212950680				
ENSG00000143569.19-ENSG00000143569.19	ENSG00000143569.19	chr1	154242931	154251046	ENSG00000143569.19	chr1	154242931	154251046				
ENSG00000143630.10-ENSG00000170634.13	ENSG00000143630.10	chr1	155282539	155282609	ENSG00000170634.13	chr2	53970839	53975301				
ENSG00000143669.16-ENSG00000206803.1	ENSG00000143669.16	chr1	235883188	235883319	ENSG00000206803.1	chr1	235915416	235915521				
ENSG00000143801.18-ENSG00000163050.18	ENSG00000143801.18	chr1	226899366	226917633	ENSG00000163050.18	chr1	226985255	226986959				
ENSG00000143891.17-ENSG00000132300.19	ENSG00000143891.17	chr2	38681296	38741159	ENSG00000132300.19	chr2	86133179	86134859				
ENSG00000143933.20-ENSG00000143933.20	ENSG00000143933.20	chr2	47162287	47176903	ENSG00000143933.20	chr2	47162287	47176903				
ENSG00000144320.14-ENSG00000168280.18	ENSG00000144320.14	chr2	175937469	175938441	ENSG00000168280.18	chr2	148997265	148998062				
ENSG00000145734.20-ENSG00000183476.13-ENSG00000225092.2	ENSG00000145734.20	chr5	71522794	71524074	ENSG00000183476.13	chr15	78100900	78104034	ENSG00000225092.2	chr6	7184509.0	7184894.0
ENSG00000145901.16-ENSG00000119535.19	ENSG00000145901.16	chr5	151042897	151080894	ENSG00000119535.19	chr1	36479004	36482886				
ENSG00000145901.16-ENSG00000158987.22	ENSG00000145901.16	chr5	151056767	151087136	ENSG00000158987.22	chr5	131436291	131453126				
ENSG00000145907.16-ENSG00000082805.21-ENSG00000166747.13	ENSG00000145907.16	chr5	151771895	151803945	ENSG00000082805.21	chr12	1183282	1492628	ENSG00000166747.13	chr16	71773256.0	71774556.0
ENSG00000146143.19-ENSG00000181523.13-ENSG00000140853.17	ENSG00000146143.19	chr6	57317629	57383418	ENSG00000181523.13	chr17	80214856	80217117	ENSG00000140853.17	chr16	57031405.0	57047748.0
ENSG00000146282.19-ENSG00000153291.16	ENSG00000146282.19	chr6	87518170	87524988	ENSG00000153291.16	chr6	46668710	46676778				
ENSG00000146809.14-ENSG00000072571.20-ENSG00000130714.19	ENSG00000146809.14	chr7	123601860	123616234	ENSG00000072571.20	chr5	163483269	163491145	ENSG00000130714.19	chr9	131518446.0	131523195.0
ENSG00000147140.17-ENSG00000147140.17	ENSG00000147140.17	chrX	71283636	71300246	ENSG00000147140.17	chrX	71283636	71300246				
ENSG00000147434.9-ENSG00000164953.17	ENSG00000147434.9	chr8	42755847	42768705	ENSG00000164953.17	chr8	93815306	93816402				
ENSG00000147573.17-ENSG00000049759.20-ENSG00000203734.13	ENSG00000147573.17	chr8	66127044	66137100	ENSG00000049759.20	chr18	58350992	58396702	ENSG00000203734.13	chr6	138868104.0	138870266.0
ENSG00000148308.18-ENSG00000260840.2-ENSG00000093072.19	ENSG00000148308.18	chr9	133055860	133057977	ENSG00000260840.2	chr2	85064109	85066381	ENSG00000093072.19	chr22	17179302.0	17181237.0
ENSG00000148362.11-ENSG00000169583.13	ENSG00000148362.11	chr9	136992448	136993628	ENSG00000169583.13	chr9	136994609	136995232				
ENSG00000148386.10-ENSG00000148386.10	ENSG00000148386.10	chr9	135663310	135665704	ENSG00000148386.10	chr9	135663310	135665704				
ENSG00000148604.15-ENSG00000100811.15	ENSG00000148604.15	chr10	84245080	84259153	ENSG00000100811.15	chr14	100262305	100276545				
ENSG00000148655.15-ENSG00000165629.20	ENSG00000148655.15	chr10	76324402	76557213	ENSG00000165629.20	chr10	7796122	7796228				
