simulation,gene_info,depth,Sequence_Identity,Spiked_ReadSupp
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000301634.12-ENST00000457108.1-ENST00000469299.1,100GB,85%,61
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000305354.5-ENST00000305354.5,100GB,85%,62
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000307221.5-ENST00000414780.1,100GB,85%,75
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000308724.9-ENST00000413890.6,100GB,85%,64
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000310924.7-ENST00000617619.1,100GB,85%,82
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000311027.9-ENST00000543925.5,100GB,85%,66
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000313871.9_PAR_Y-ENST00000461691.6_PAR_Y,100GB,85%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000322060.9-ENST00000322060.9,100GB,85%,64
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000327355.6-ENST00000470542.5-ENST00000471532.5,100GB,85%,118
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000335125.11-ENST00000335125.11,100GB,85%,54
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000338625.9-ENST00000384919.1,100GB,85%,60
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000341885.6-ENST00000363721.1,100GB,85%,39
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000344201.7-ENST00000344201.7,100GB,85%,45
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000346169.7-ENST00000621669.1-ENST00000514119.6,100GB,85%,73
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000346301.8-ENST00000346301.8,100GB,85%,102
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000355773.6-ENST00000497417.1,100GB,85%,55
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000355860.7-ENST00000355860.7,100GB,85%,67
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000358582.9-ENST00000650640.1,100GB,85%,143
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000358772.8-ENST00000360581.6,100GB,85%,59
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000359452.9-ENST00000553625.5,100GB,85%,64
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000361352.9-ENST00000450451.1,100GB,85%,117
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000361665.7-ENST00000513880.2-ENST00000626336.2,100GB,85%,87
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000361886.4-ENST00000361886.4,100GB,85%,70
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000364281.1-ENST00000616658.1,100GB,85%,43
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000366965.6-ENST00000366965.6,100GB,85%,73
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000368129.3-ENST00000446414.2,100GB,85%,34
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000370869.7-ENST00000593903.1-ENST00000481627.2,100GB,85%,67
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000372220.5-ENST00000649972.1-ENST00000433160.1,100GB,85%,209
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000373698.7-ENST00000439471.2,100GB,85%,42
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000373943.9-ENST00000527662.5,100GB,85%,151
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000374255.6-ENST00000454799.6,100GB,85%,87
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000374825.9-ENST00000688622.1,100GB,85%,80
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000377270.8-ENST00000605734.1,100GB,85%,55
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000377724.8-ENST00000452964.2,100GB,85%,59
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000378512.5-ENST00000442080.6,100GB,85%,175
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000379727.8-ENST00000379727.8,100GB,85%,65
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000381233.8-ENST00000446750.1,100GB,85%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000381625.9_PAR_Y-ENST00000422618.6_PAR_Y,100GB,85%,41
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000381843.6-ENST00000697470.1,100GB,85%,60
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000381941.8-ENST00000665561.1,100GB,85%,42
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000388955.8-ENST00000457352.4,100GB,85%,39
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000389576.4-ENST00000225275.4,100GB,85%,91
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000391111.1-ENST00000560029.5,100GB,85%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000391196.1-ENST00000658286.1,100GB,85%,43
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000391254.1-ENST00000679629.1,100GB,85%,250
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000393276.7-ENST00000559120.1,100GB,85%,106
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000393674.7-ENST00000505124.5,100GB,85%,39
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000395680.6-ENST00000432239.1,100GB,85%,52
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000395953.6-ENST00000476271.3,100GB,85%,55
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000395979.1-ENST00000515221.2,100GB,85%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000397030.5-ENST00000397030.5,100GB,85%,152
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000397072.7-ENST00000523026.1,100GB,85%,40
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000400318.6-ENST00000370873.9,100GB,85%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000402432.4-ENST00000413246.1-ENST00000374491.3,100GB,85%,73
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000404015.2-ENST00000384664.1,100GB,85%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000406434.5-ENST00000465612.5,100GB,85%,54
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000406452.8-ENST00000406452.8,100GB,85%,100
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000407724.7-ENST00000264156.3,100GB,85%,83
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000408047.5-ENST00000702978.1-ENST00000679964.1,100GB,85%,67
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000408373.1-ENST00000358866.10,100GB,85%,90
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000410497.1-ENST00000293761.8,100GB,85%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000411940.1-ENST00000706511.1-ENST00000610854.2,100GB,85%,157
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000412117.1-ENST00000513578.5,100GB,85%,54
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000412778.4-ENST00000412778.4,100GB,85%,56
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000413365.1-ENST00000486759.6-ENST00000576080.1,100GB,85%,81
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000417099.1-ENST00000684942.1,100GB,85%,53
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000417464.6-ENST00000478088.1-ENST00000537918.1,100GB,85%,60
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000418314.1-ENST00000418314.1,100GB,85%,68
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000418638.1-ENST00000675799.1,100GB,85%,55
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000418733.1-ENST00000494540.5,100GB,85%,46
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000419121.6-ENST00000419121.6,100GB,85%,66
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000419658.1-ENST00000419658.1,100GB,85%,50
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000419977.4-ENST00000575188.5-ENST00000539881.5,100GB,85%,122
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000420185.1-ENST00000440074.1,100GB,85%,80
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000420539.1-ENST00000420539.1,100GB,85%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000422221.1-ENST00000696757.1,100GB,85%,70
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000422805.2-ENST00000422805.2,100GB,85%,48
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000423025.6-ENST00000652936.1-ENST00000513409.1,100GB,85%,164
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000423325.6-ENST00000423325.6,100GB,85%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000425013.6-ENST00000374160.8-ENST00000500148.6,100GB,85%,122
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000425231.2-ENST00000412069.1,100GB,85%,53
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000425324.2-ENST00000357984.7-ENST00000273063.10,100GB,85%,94
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000425797.2-ENST00000584900.5,100GB,85%,59
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000426527.1-ENST00000421563.5,100GB,85%,53
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000427561.5-ENST00000456273.1,100GB,85%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000429769.5-ENST00000429769.5,100GB,85%,60
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000429883.1-ENST00000693243.2,100GB,85%,45
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000430540.1-ENST00000430540.1,100GB,85%,37
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000431868.1-ENST00000513652.1,100GB,85%,48
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000432360.2-ENST00000693714.1,100GB,85%,253
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000433548.1-ENST00000583102.1-ENST00000483444.5,100GB,85%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000434440.1-ENST00000524362.1-ENST00000494503.1,100GB,85%,39
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000434934.1-ENST00000493430.5,100GB,85%,52
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000435327.2-ENST00000685060.1,100GB,85%,57
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000437525.3-ENST00000287152.12,100GB,85%,221
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000437535.5-ENST00000432118.6-ENST00000677029.1,100GB,85%,65
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000438635.1-ENST00000375544.7-ENST00000380051.7,100GB,85%,69
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000439042.1-ENST00000641760.1,100GB,85%,62
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000439523.1-ENST00000682513.1-ENST00000311028.4,100GB,85%,215
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000440054.2-ENST00000626796.2-ENST00000446092.2,100GB,85%,61
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000440089.1-ENST00000558164.5,100GB,85%,96
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000441160.1-ENST00000441160.1,100GB,85%,41
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000441660.1-ENST00000690299.1,100GB,85%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000442049.3-ENST00000442049.3,100GB,85%,51
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000442241.9-ENST00000442241.9,100GB,85%,161
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000442440.2-ENST00000338121.10,100GB,85%,59
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000442616.1-ENST00000416699.5,100GB,85%,40
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000443316.2-ENST00000443316.2,100GB,85%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000444324.2-ENST00000485116.5,100GB,85%,63
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000445313.1-ENST00000693243.2,100GB,85%,40
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000446299.5-ENST00000488344.6_PAR_Y,100GB,85%,39
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000447769.1-ENST00000529549.1,100GB,85%,58
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000450546.1-ENST00000450546.1,100GB,85%,53
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000452765.7-ENST00000479000.1,100GB,85%,53
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000453034.5-ENST00000260363.9,100GB,85%,122
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000453699.1-ENST00000456957.2,100GB,85%,39
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000453788.6-ENST00000374688.5,100GB,85%,94
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000454946.2-ENST00000677671.1,100GB,85%,124
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000456072.1-ENST00000412242.1,100GB,85%,48
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000457067.1-ENST00000465409.1,100GB,85%,50
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000458739.1-ENST00000668804.1,100GB,85%,71
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000459284.1-ENST00000459284.1,100GB,85%,52
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000460463.1-ENST00000605282.5-ENST00000570823.5,100GB,85%,60
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000461009.1-ENST00000300589.6,100GB,85%,48
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000461058.5-ENST00000670198.1,100GB,85%,48
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000461520.5-ENST00000468935.2,100GB,85%,43
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000464635.1-ENST00000464635.1,100GB,85%,54
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000465177.1-ENST00000534203.5-ENST00000344622.8,100GB,85%,146
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000465795.1-ENST00000341037.8,100GB,85%,146
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000465909.3-ENST00000498112.1,100GB,85%,90
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000466173.1-ENST00000466173.1,100GB,85%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000466498.2-ENST00000618693.4,100GB,85%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000466506.1-ENST00000251776.8,100GB,85%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000466626.1-ENST00000507216.1-ENST00000237177.10,100GB,85%,51
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000467204.1-ENST00000606082.5,100GB,85%,50
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000467659.1-ENST00000384012.1,100GB,85%,42
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000468508.1-ENST00000395160.9-ENST00000363107.1,100GB,85%,62
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000469000.5-ENST00000362280.3,100GB,85%,56
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000469560.2-ENST00000452776.1-ENST00000366651.7,100GB,85%,99
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000470053.1-ENST00000597638.1,100GB,85%,59
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000470456.1-ENST00000470456.1,100GB,85%,36
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000471532.5-ENST00000327906.8,100GB,85%,74
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000471829.5-ENST00000471829.5,100GB,85%,52
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000472401.5-ENST00000611502.1,100GB,85%,50
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000472831.5-ENST00000685924.1-ENST00000297875.7,100GB,85%,167
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000474148.5-ENST00000474148.5,100GB,85%,126
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000474383.1-ENST00000518783.1,100GB,85%,49
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000474903.1-ENST00000373261.5-ENST00000647101.1,100GB,85%,81
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000474978.1-ENST00000596045.1,100GB,85%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000476522.5-ENST00000649123.1,100GB,85%,106
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000476523.5-ENST00000646338.1,100GB,85%,63
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000476908.1-ENST00000427409.1,100GB,85%,29
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000477360.2-ENST00000477360.2,100GB,85%,62
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000478279.6-ENST00000683712.1,100GB,85%,49
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000478995.2-ENST00000524859.5-ENST00000608168.1,100GB,85%,195
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000479283.1-ENST00000620694.1-ENST00000680236.1,100GB,85%,148
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000479520.5-ENST00000483209.5,100GB,85%,67
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000480623.6-ENST00000480623.6,100GB,85%,59
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000480889.1-ENST00000480889.1,100GB,85%,44
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000482145.5-ENST00000475843.5,100GB,85%,58
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000482227.5-ENST00000363969.1,100GB,85%,69
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000483679.1-ENST00000341119.10,100GB,85%,141
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000483807.5-ENST00000494426.2,100GB,85%,47
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000483879.5-ENST00000660943.1,100GB,85%,58
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000484007.1-ENST00000580922.1,100GB,85%,50
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000484028.1-ENST00000652807.1,100GB,85%,88
porechoptrimmed_Adapter_Spiked_Simulated_100GB_nanopore2023_Q85.fastq.gz,ENST00000485213.1-ENST00000637520.1,100GB,85%,134
