fusionGene	Gene1_vID	Gene2_vID	Gene3_vID	original.fusion.gene.id	V1	V2	V3	geneName	name	chrom	strand	exonCount	exonBases	exonIndexes	exonStarts	exonEnds	fusionType	fusionOptions	geneName_ID	external_gene_name	fusion.gene.id	Gene1_alternative_ID	Gene2_alternative_ID	Gene3_alternative_ID
ENSG00000185664.15::ENSG00000251584.2	ENSG00000185664.15	ENSG00000251584.2	NA	ENSG00000185664:ENSG00000251584	ENSG00000185664	ENSG00000251584	NA	ENSG00000185664	ENST00000550447.5	chr12	-	2	214	5,6	55961318,55965937	55961463,55966004	hybrid	symmetrical_exons	ENSG00000185664.15	PMEL	ENSG00000185664:ENSG00000251584	ENSG00000185664	ENSG00000251584	NA
ENSG00000185664.15::ENSG00000251584.2	ENSG00000185664.15	ENSG00000251584.2	NA	ENSG00000185664:ENSG00000251584	ENSG00000185664	ENSG00000251584	NA	ENSG00000251584	ENST00000664316.1	chr4	+	4	959	0,1,2,3	174522618,174530095,174538133,174540317	174522930,174530256,174538212,174540720	hybrid	symmetrical_exons	ENSG00000251584.2	NA	ENSG00000185664:ENSG00000251584	ENSG00000185664	ENSG00000251584	NA
ENSG00000114302.17::ENSG00000114374.13	ENSG00000114302.17	ENSG00000114374.13	NA	ENSG00000114302:ENSG00000114374	ENSG00000114302	ENSG00000114374	NA	ENSG00000114302	ENST00000265563.13	chr3	-	2	157	9,10	48807650,48847336	48807684,48847457	hybrid	symmetrical_exons	ENSG00000114302.17	PRKAR2A	ENSG00000114302:ENSG00000114374	ENSG00000114302	ENSG00000114374	NA
ENSG00000114302.17::ENSG00000114374.13	ENSG00000114302.17	ENSG00000114374.13	NA	ENSG00000114302:ENSG00000114374	ENSG00000114302	ENSG00000114374	NA	ENSG00000114374	ENST00000338981.7	chrY	+	44	8156	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45	12709389,12720590,12722109,12725114,12726576,12735613,12735999,12736412,12738158,12739526,12757193,12758507,12760485,12771069,12773584,12775472,12776650,12778020,12778607,12779527,12786204,12786523,12790408,12791500,12793033,12810180,12810673,12811636,12812831,12816125,12818421,12833689,12837912,12839865,12841011,12842241,12843065,12846334,12846934,12847240,12856341,12856634,12857567,12859280	12709543,12720737,12722187,12725225,12726793,12735727,12736249,12736549,12738309,12739629,12757398,12758642,12760617,12771155,12773925,12775566,12776860,12778259,12778755,12779646,12786333,12786800,12790532,12791624,12793201,12810287,12810818,12811781,12813052,12816344,12818610,12833861,12838052,12840614,12841133,12842465,12843193,12846518,12847153,12847327,12856496,12856845,12857661,12859888	hybrid	symmetrical_exons	ENSG00000114374.13	USP9Y	ENSG00000114302:ENSG00000114374	ENSG00000114302	ENSG00000114374	NA
ENSG00000237596.7::ENSG00000250799.11	ENSG00000237596.7	ENSG00000250799.11	NA	ENSG00000237596:ENSG00000250799	ENSG00000237596	ENSG00000250799	NA	ENSG00000237596	ENST00000629837.2	chr6	-	1	10	3	136208403	136208412	hybrid	symmetrical_exons	ENSG00000237596.7	PDE7B-AS1	ENSG00000237596:ENSG00000250799	ENSG00000237596	ENSG00000250799	NA
ENSG00000237596.7::ENSG00000250799.11	ENSG00000237596.7	ENSG00000250799.11	NA	ENSG00000237596:ENSG00000250799	ENSG00000237596	ENSG00000250799	NA	ENSG00000250799	ENST00000591694.1	chr19	-	1	14	0	35811996	35812009	hybrid	symmetrical_exons	ENSG00000250799.11	PRODH2	ENSG00000237596:ENSG00000250799	ENSG00000237596	ENSG00000250799	NA
ENSG00000175426.11::ENSG00000137497.19	ENSG00000175426.11	ENSG00000137497.19	NA	ENSG00000175426:ENSG00000137497	ENSG00000175426	ENSG00000137497	NA	ENSG00000175426	ENST00000508626.5	chr5	-	1	29	13	96432084	96432112	hybrid	symmetrical_exons	ENSG00000175426.11	PCSK1	ENSG00000175426:ENSG00000137497	ENSG00000175426	ENSG00000137497	NA
ENSG00000175426.11::ENSG00000137497.19	ENSG00000175426.11	ENSG00000137497.19	NA	ENSG00000175426:ENSG00000137497	ENSG00000175426	ENSG00000137497	NA	ENSG00000137497	ENST00000544129.5	chr11	-	1	7	0	72019602	72019608	hybrid	symmetrical_exons	ENSG00000137497.19	NUMA1	ENSG00000175426:ENSG00000137497	ENSG00000175426	ENSG00000137497	NA
ENSG00000237931.1::ENSG00000081985.14	ENSG00000237931.1	ENSG00000081985.14	NA	ENSG00000237931:ENSG00000081985	ENSG00000237931	ENSG00000081985	NA	ENSG00000237931	ENST00000422221.1	chrX	+	1	91	0	41077000	41077090	hybrid	symmetrical_exons	ENSG00000237931.1	CLIC4P3	ENSG00000237931:ENSG00000081985	ENSG00000237931	ENSG00000081985	NA
ENSG00000237931.1::ENSG00000081985.14	ENSG00000237931.1	ENSG00000081985.14	NA	ENSG00000237931:ENSG00000081985	ENSG00000237931	ENSG00000081985	NA	ENSG00000081985	ENST00000696757.1	chr1	+	8	1690	7,8,9,10,11,12,13,14	67338625,67350871,67367826,67372437,67372626,67379987,67386580,67395548	67338703,67351089,67368025,67372534,67372783,67380123,67386669,67396256	hybrid	symmetrical_exons	ENSG00000081985.14	IL12RB2	ENSG00000237931:ENSG00000081985	ENSG00000237931	ENSG00000081985	NA
ENSG00000234056.3::ENSG00000287340.2	ENSG00000234056.3	ENSG00000287340.2	NA	ENSG00000234056:ENSG00000287340	ENSG00000234056	ENSG00000287340	NA	ENSG00000234056	ENST00000657426.1	chr13	-	3	776	0,1,2	25172831,25173914,25179778	25173322,25174087,25179887	hybrid	symmetrical_exons	ENSG00000234056.3	LINC00463	ENSG00000234056:ENSG00000287340	ENSG00000234056	ENSG00000287340	NA
ENSG00000234056.3::ENSG00000287340.2	ENSG00000234056.3	ENSG00000287340.2	NA	ENSG00000234056:ENSG00000287340	ENSG00000234056	ENSG00000287340	NA	ENSG00000287340	ENST00000661083.2	chr16	-	2	1174	0,1	7301606,7304482	7302625,7304635	hybrid	symmetrical_exons	ENSG00000287340.2	NA	ENSG00000234056:ENSG00000287340	ENSG00000234056	ENSG00000287340	NA
ENSG00000267712.6::ENSG00000115355.18	ENSG00000267712.6	ENSG00000115355.18	NA	ENSG00000267712:ENSG00000115355	ENSG00000267712	ENSG00000115355	NA	ENSG00000267712	ENST00000664250.1	chr18	-	6	763	2,3,4,5,6,7	56096008,56102692,56105528,56121279,56122294,56137307	56096096,56102829,56105613,56121446,56122488,56137393	hybrid	symmetrical_exons	ENSG00000267712.6	LINC01539	ENSG00000267712:ENSG00000115355	ENSG00000267712	ENSG00000115355	NA
ENSG00000267712.6::ENSG00000115355.18	ENSG00000267712.6	ENSG00000115355.18	NA	ENSG00000267712:ENSG00000115355	ENSG00000267712	ENSG00000115355	NA	ENSG00000115355	ENST00000642514.1	chr2	-	1	1077	0	55416924	55418000	hybrid	symmetrical_exons	ENSG00000115355.18	CCDC88A	ENSG00000267712:ENSG00000115355	ENSG00000267712	ENSG00000115355	NA
ENSG00000285171.1::ENSG00000087111.22	ENSG00000285171.1	ENSG00000087111.22	NA	ENSG00000285171:ENSG00000087111	ENSG00000285171	ENSG00000087111	NA	ENSG00000285171	ENST00000646106.1	chrX	-	10	1088	4,5,6,7,8,9,10,11,12,13	71106355,71106533,71107854,71108278,71108600,71109229,71110157,71110505,71110898,71111426	71106426,71106590,71107921,71108346,71108695,71109390,71110295,71110688,71111050,71111512	hybrid	symmetrical_exons	ENSG00000285171.1	NA	ENSG00000285171:ENSG00000087111	ENSG00000285171	ENSG00000087111	NA
ENSG00000285171.1::ENSG00000087111.22	ENSG00000285171.1	ENSG00000087111.22	NA	ENSG00000285171:ENSG00000087111	ENSG00000285171	ENSG00000087111	NA	ENSG00000087111	ENST00000484580.6	chr17	-	2	557	0,1	28556470,28558477	28556972,28558530	hybrid	symmetrical_exons	ENSG00000087111.22	PIGS	ENSG00000285171:ENSG00000087111	ENSG00000285171	ENSG00000087111	NA
ENSG00000148604.15::ENSG00000100811.15	ENSG00000148604.15	ENSG00000100811.15	NA	ENSG00000148604:ENSG00000100811	ENSG00000148604	ENSG00000100811	NA	ENSG00000148604	ENST00000359452.9	chr10	+	7	1407	0,1,2,3,4,5,6	84245080,84247592,84248911,84252858,84254327,84257894,84258509	84245169,84247747,84249043,84253010,84254443,84258006,84259153	hybrid	symmetrical_exons	ENSG00000148604.15	RGR	ENSG00000148604:ENSG00000100811	ENSG00000148604	ENSG00000100811	NA
ENSG00000148604.15::ENSG00000100811.15	ENSG00000148604.15	ENSG00000100811.15	NA	ENSG00000148604:ENSG00000100811	ENSG00000148604	ENSG00000100811	NA	ENSG00000100811	ENST00000553625.5	chr14	+	2	217	1,2	100262305,100276491	100262466,100276545	hybrid	symmetrical_exons	ENSG00000100811.15	YY1	ENSG00000148604:ENSG00000100811	ENSG00000148604	ENSG00000100811	NA
ENSG00000196510.14::ENSG00000184716.14	ENSG00000196510.14	ENSG00000184716.14	NA	ENSG00000196510:ENSG00000184716	ENSG00000196510	ENSG00000184716	NA	ENSG00000196510	ENST00000552087.1	chr12	-	1	37	2	110381753	110381789	hybrid	symmetrical_exons	ENSG00000196510.14	ANAPC7	ENSG00000196510:ENSG00000184716	ENSG00000196510	ENSG00000184716	NA
ENSG00000196510.14::ENSG00000184716.14	ENSG00000196510.14	ENSG00000184716.14	NA	ENSG00000196510:ENSG00000184716	ENSG00000196510	ENSG00000184716	NA	ENSG00000184716	ENST00000476490.1	chr15	-	3	834	0,1,2	43796731,43797921,43798960	43797356,43798013,43799074	hybrid	symmetrical_exons	ENSG00000184716.14	SERINC4	ENSG00000196510:ENSG00000184716	ENSG00000196510	ENSG00000184716	NA
ENSG00000244461.1::ENSG00000041982.17	ENSG00000244461.1	ENSG00000041982.17	NA	ENSG00000244461:ENSG00000041982	ENSG00000244461	ENSG00000041982	NA	ENSG00000244461	ENST00000465795.1	chr3	-	3	325	0,1,2	78038706,78042143,78046694	78038910,78042242,78046713	hybrid	symmetrical_exons	ENSG00000244461.1	LINC02077	ENSG00000244461:ENSG00000041982	ENSG00000244461	ENSG00000041982	NA
ENSG00000244461.1::ENSG00000041982.17	ENSG00000244461.1	ENSG00000041982.17	NA	ENSG00000244461:ENSG00000041982	ENSG00000244461	ENSG00000041982	NA	ENSG00000041982	ENST00000341037.8	chr9	-	22	4498	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	115020561,115023974,115026535,115029361,115030255,115031554,115035205,115036099,115038262,115040942,115042220,115046411,115057154,115059731,115063797,115064648,115073604,115076033,115076391,115077944,115081773,115082693	115021267,115024136,115026695,115029456,115030405,115031685,115035334,115036241,115038380,115041084,115042341,115046682,115057425,115060002,115064068,115064919,115073866,115076121,115076575,115078212,115081928,115082801	hybrid	symmetrical_exons	ENSG00000041982.17	TNC	ENSG00000244461:ENSG00000041982	ENSG00000244461	ENSG00000041982	NA
ENSG00000290106.1::ENSG00000116205.14	ENSG00000290106.1	ENSG00000116205.14	NA	ENSG00000290106:ENSG00000116205	ENSG00000290106	ENSG00000116205	NA	ENSG00000290106	ENST00000702991.1	chr7	+	1	95	0	25855323	25855417	hybrid	symmetrical_exons	ENSG00000290106.1	NA	ENSG00000290106:ENSG00000116205	ENSG00000290106	ENSG00000116205	NA
ENSG00000290106.1::ENSG00000116205.14	ENSG00000290106.1	ENSG00000116205.14	NA	ENSG00000290106:ENSG00000116205	ENSG00000290106	ENSG00000116205	NA	ENSG00000116205	ENST00000391366.3	chr1	+	1	1428	0	54104296	54105723	hybrid	symmetrical_exons	ENSG00000116205.14	TCEANC2	ENSG00000290106:ENSG00000116205	ENSG00000290106	ENSG00000116205	NA
ENSG00000271724.1::ENSG00000005007.14	ENSG00000271724.1	ENSG00000005007.14	NA	ENSG00000271724:ENSG00000005007	ENSG00000271724	ENSG00000005007	NA	ENSG00000271724	ENST00000508845.1	chr5	-	2	486	0,1	146375592,146376106	146375987,146376195	hybrid	symmetrical_exons	ENSG00000271724.1	NA	ENSG00000271724:ENSG00000005007	ENSG00000271724	ENSG00000005007	NA
ENSG00000271724.1::ENSG00000005007.14	ENSG00000271724.1	ENSG00000005007.14	NA	ENSG00000271724:ENSG00000005007	ENSG00000271724	ENSG00000005007	NA	ENSG00000005007	ENST00000704679.1	chr19	+	17	2536	5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	18853253,18854602,18854880,18855125,18855926,18856187,18856878,18857321,18860322,18860827,18862011,18863439,18864171,18865290,18865562,18866045,18866522	18853350,18854709,18855038,18855242,18856089,18856300,18857020,18857533,18860438,18860982,18862152,18863612,18864251,18865450,18865778,18866166,18866770	hybrid	symmetrical_exons	ENSG00000005007.14	UPF1	ENSG00000271724:ENSG00000005007	ENSG00000271724	ENSG00000005007	NA
ENSG00000121281.13::ENSG00000188801.9	ENSG00000121281.13	ENSG00000188801.9	NA	ENSG00000121281:ENSG00000188801	ENSG00000121281	ENSG00000188801	NA	ENSG00000121281	ENST00000570187.1	chr16	+	6	1257	0,1,2,3,4,5	50304395,50304926,50305504,50305778,50307051,50308328	50304551,50304959,50305586,50305849,50307147,50309141	hybrid	symmetrical_exons	ENSG00000121281.13	ADCY7	ENSG00000121281:ENSG00000188801	ENSG00000121281	ENSG00000188801	NA
ENSG00000121281.13::ENSG00000188801.9	ENSG00000121281.13	ENSG00000188801.9	NA	ENSG00000121281:ENSG00000188801	ENSG00000121281	ENSG00000188801	NA	ENSG00000188801	ENST00000568013.1	chr9	-	1	1055	0	97198304	97199358	hybrid	symmetrical_exons	ENSG00000188801.9	ZNF322P1	ENSG00000121281:ENSG00000188801	ENSG00000121281	ENSG00000188801	NA
ENSG00000106617.15::ENSG00000155511.19	ENSG00000106617.15	ENSG00000155511.19	NA	ENSG00000106617:ENSG00000155511	ENSG00000106617	ENSG00000155511	NA	ENSG00000106617	ENST00000474383.1	chr7	-	1	59	1	151876508	151876566	hybrid	symmetrical_exons	ENSG00000106617.15	PRKAG2	ENSG00000106617:ENSG00000155511	ENSG00000106617	ENSG00000155511	NA
ENSG00000106617.15::ENSG00000155511.19	ENSG00000106617.15	ENSG00000155511.19	NA	ENSG00000106617:ENSG00000155511	ENSG00000106617	ENSG00000155511	NA	ENSG00000155511	ENST00000518783.1	chr5	+	1	411	15	153811026	153811436	hybrid	symmetrical_exons	ENSG00000155511.19	GRIA1	ENSG00000106617:ENSG00000155511	ENSG00000106617	ENSG00000155511	NA
ENSG00000213318.4::ENSG00000269609.6	ENSG00000213318.4	ENSG00000269609.6	NA	ENSG00000213318:ENSG00000269609	ENSG00000213318	ENSG00000269609	NA	ENSG00000213318	ENST00000474978.1	chr16	-	1	722	0	75192466	75193187	hybrid	symmetrical_exons	ENSG00000213318.4	NA	ENSG00000213318:ENSG00000269609	ENSG00000213318	ENSG00000269609	NA
ENSG00000213318.4::ENSG00000269609.6	ENSG00000213318.4	ENSG00000269609.6	NA	ENSG00000213318:ENSG00000269609	ENSG00000213318	ENSG00000269609	NA	ENSG00000269609	ENST00000596045.1	chr10	+	1	27	1	102451400	102451426	hybrid	symmetrical_exons	ENSG00000269609.6	C10orf95-AS1	ENSG00000213318:ENSG00000269609	ENSG00000213318	ENSG00000269609	NA
ENSG00000087266.17::ENSG00000147854.17	ENSG00000087266.17	ENSG00000147854.17	NA	ENSG00000087266:ENSG00000147854	ENSG00000087266	ENSG00000147854	NA	ENSG00000087266	ENST00000452765.7	chr4	+	2	69	0,1	2832346,2832922	2832412,2832923	hybrid	symmetrical_exons	ENSG00000087266.17	SH3BP2	ENSG00000087266:ENSG00000147854	ENSG00000087266	ENSG00000147854	NA
ENSG00000087266.17::ENSG00000147854.17	ENSG00000087266.17	ENSG00000147854.17	NA	ENSG00000087266:ENSG00000147854	ENSG00000087266	ENSG00000147854	NA	ENSG00000147854	ENST00000479000.1	chr9	+	3	211	0,1,2	6497050,6497199,6498019	6497103,6497268,6498105	hybrid	symmetrical_exons	ENSG00000147854.17	UHRF2	ENSG00000087266:ENSG00000147854	ENSG00000087266	ENSG00000147854	NA
ENSG00000260851.7::ENSG00000156475.19	ENSG00000260851.7	ENSG00000156475.19	NA	ENSG00000260851:ENSG00000156475	ENSG00000260851	ENSG00000156475	NA	ENSG00000260851	ENST00000677753.1	chr16	-	3	234	0,1,2	66481176,66485947,66513732	66481246,66486047,66513793	hybrid	symmetrical_exons	ENSG00000260851.7	NA	ENSG00000260851:ENSG00000156475	ENSG00000260851	ENSG00000156475	NA
ENSG00000260851.7::ENSG00000156475.19	ENSG00000260851.7	ENSG00000156475.19	NA	ENSG00000260851:ENSG00000156475	ENSG00000260851	ENSG00000156475	NA	ENSG00000156475	ENST00000394409.7	chr5	-	1	119	0	146581147	146581265	hybrid	symmetrical_exons	ENSG00000156475.19	PPP2R2B	ENSG00000260851:ENSG00000156475	ENSG00000260851	ENSG00000156475	NA
ENSG00000212413.1::ENSG00000245694.12	ENSG00000212413.1	ENSG00000245694.12	NA	ENSG00000212413:ENSG00000245694	ENSG00000212413	ENSG00000245694	NA	ENSG00000212413	ENST00000391111.1	chr10	-	1	24	0	103312437	103312460	hybrid	symmetrical_exons	ENSG00000212413.1	RNU11-3P	ENSG00000212413:ENSG00000245694	ENSG00000212413	ENSG00000245694	NA
ENSG00000212413.1::ENSG00000245694.12	ENSG00000212413.1	ENSG00000245694.12	NA	ENSG00000212413:ENSG00000245694	ENSG00000212413	ENSG00000245694	NA	ENSG00000245694	ENST00000560029.5	chr16	-	2	651	0,1	54918871,54920299	54919209,54920610	hybrid	symmetrical_exons	ENSG00000245694.12	CRNDE	ENSG00000212413:ENSG00000245694	ENSG00000212413	ENSG00000245694	NA
ENSG00000285219.4::ENSG00000258376.2	ENSG00000285219.4	ENSG00000258376.2	NA	ENSG00000285219:ENSG00000258376	ENSG00000285219	ENSG00000258376	NA	ENSG00000285219	ENST00000643938.1	chr6	+	1	473	0	9224595	9225067	hybrid	symmetrical_exons	ENSG00000285219.4	HULC	ENSG00000285219:ENSG00000258376	ENSG00000285219	ENSG00000258376	NA
ENSG00000285219.4::ENSG00000258376.2	ENSG00000285219.4	ENSG00000258376.2	NA	ENSG00000285219:ENSG00000258376	ENSG00000285219	ENSG00000258376	NA	ENSG00000258376	ENST00000554614.2	chr14	-	1	1966	0	73242652	73244617	hybrid	symmetrical_exons	ENSG00000258376.2	PAPLN-AS1	ENSG00000285219:ENSG00000258376	ENSG00000285219	ENSG00000258376	NA
ENSG00000009830.13::ENSG00000087258.16	ENSG00000009830.13	ENSG00000087258.16	NA	ENSG00000009830:ENSG00000087258	ENSG00000009830	ENSG00000087258	NA	ENSG00000009830	ENST00000554767.5	chr14	-	2	1646	13,14	77298690,77299456	77298771,77301019	hybrid	symmetrical_exons	ENSG00000009830.13	POMT2	ENSG00000009830:ENSG00000087258	ENSG00000009830	ENSG00000087258	NA
ENSG00000009830.13::ENSG00000087258.16	ENSG00000009830.13	ENSG00000087258.16	NA	ENSG00000009830:ENSG00000087258	ENSG00000009830	ENSG00000087258	NA	ENSG00000087258	ENST00000262494.13	chr16	+	4	3082	4,5,6,7	56334730,56336732,56340835,56343764	56334857,56336860,56340987,56346435	hybrid	symmetrical_exons	ENSG00000087258.16	GNAO1	ENSG00000009830:ENSG00000087258	ENSG00000009830	ENSG00000087258	NA
ENSG00000261771.5::ENSG00000144485.11	ENSG00000261771.5	ENSG00000144485.11	NA	ENSG00000261771:ENSG00000144485	ENSG00000261771	ENSG00000144485	NA	ENSG00000261771	ENST00000568310.1	chr15	-	5	676	5,6,7,8,9	55450223,55466931,55491124,55497713,55498208	55450367,55467161,55491256,55497859,55498227	hybrid	symmetrical_exons	ENSG00000261771.5	DNAAF4-CCPG1	ENSG00000261771:ENSG00000144485	ENSG00000261771	ENSG00000144485	NA
ENSG00000261771.5::ENSG00000144485.11	ENSG00000261771.5	ENSG00000144485.11	NA	ENSG00000261771:ENSG00000144485	ENSG00000261771	ENSG00000144485	NA	ENSG00000144485	ENST00000436051.1	chr2	-	4	292	0,1,2,3	238239181,238239488,238239662,238240393	238239251,238239568,238239747,238240446	hybrid	symmetrical_exons	ENSG00000144485.11	HES6	ENSG00000261771:ENSG00000144485	ENSG00000261771	ENSG00000144485	NA
ENSG00000109861.17::ENSG00000213619.11	ENSG00000109861.17	ENSG00000213619.11	NA	ENSG00000109861:ENSG00000213619	ENSG00000109861	ENSG00000213619	NA	ENSG00000109861	ENST00000679032.1	chr11	-	1	166	4	88337502	88337667	hybrid	symmetrical_exons	ENSG00000109861.17	CTSC	ENSG00000109861:ENSG00000213619	ENSG00000109861	ENSG00000213619	NA
ENSG00000109861.17::ENSG00000213619.11	ENSG00000109861.17	ENSG00000213619.11	NA	ENSG00000109861:ENSG00000213619	ENSG00000109861	ENSG00000213619	NA	ENSG00000213619	ENST00000530295.5	chr11	+	2	164	1,2	47580526,47580836	47580622,47580902	hybrid	symmetrical_exons	ENSG00000213619.11	NDUFS3	ENSG00000109861:ENSG00000213619	ENSG00000109861	ENSG00000213619	NA
ENSG00000228570.8::ENSG00000167258.15	ENSG00000228570.8	ENSG00000167258.15	NA	ENSG00000228570:ENSG00000167258	ENSG00000228570	ENSG00000167258	NA	ENSG00000228570	ENST00000602967.5	chr10	+	2	911	0,1	79841359,79844174	79842122,79844320	hybrid	symmetrical_exons	ENSG00000228570.8	NUTM2E	ENSG00000228570:ENSG00000167258	ENSG00000228570	ENSG00000167258	NA
ENSG00000228570.8::ENSG00000167258.15	ENSG00000228570.8	ENSG00000167258.15	NA	ENSG00000228570:ENSG00000167258	ENSG00000228570	ENSG00000167258	NA	ENSG00000167258	ENST00000581593.1	chr17	+	2	229	1,2	39492752,39494525	39492890,39494614	hybrid	symmetrical_exons	ENSG00000167258.15	CDK12	ENSG00000228570:ENSG00000167258	ENSG00000228570	ENSG00000167258	NA
ENSG00000069329.18::ENSG00000253327.2	ENSG00000069329.18	ENSG00000253327.2	NA	ENSG00000069329:ENSG00000253327	ENSG00000069329	ENSG00000253327	NA	ENSG00000069329	ENST00000563984.1	chr16	-	2	746	0,1	46682883,46689132	46683606,46689153	hybrid	symmetrical_exons	ENSG00000069329.18	VPS35	ENSG00000069329:ENSG00000253327	ENSG00000069329	ENSG00000253327	NA
ENSG00000069329.18::ENSG00000253327.2	ENSG00000069329.18	ENSG00000253327.2	NA	ENSG00000069329:ENSG00000253327	ENSG00000069329	ENSG00000253327	NA	ENSG00000253327	ENST00000521487.2	chr8	+	2	1075	0,1	116874425,116875422	116874985,116875935	hybrid	symmetrical_exons	ENSG00000253327.2	RAD21-AS1	ENSG00000069329:ENSG00000253327	ENSG00000069329	ENSG00000253327	NA
