fusion.gene.id	Sequence_Identity	depth	control	Algorithm	fusionType	Total_Read_Supp	overlap	recall_category
ENSG00000003393:ENSG00000187720	85%	10GB	positive	GFSeeker	reverse_order:truncated_tri_fusion	2	1	Partial_Recall
ENSG00000003393:ENSG00000187720	90%	10GB	positive	GFSeeker	reverse_order:truncated_tri_fusion	6	1	Partial_Recall
ENSG00000003393:ENSG00000282917	85%	100GB	positive	FusionSeeker	false_fusion	33	1	False_Call
ENSG00000003393:ENSG00000282917	90%	100GB	positive	FusionSeeker	false_fusion	111	1	False_Call
ENSG00000003393:ENSG00000282917	90%	10GB	positive	FusionSeeker	false_fusion	9	1	False_Call
ENSG00000003393:ENSG00000282917	95%	100GB	positive	FusionSeeker	false_fusion	116	1	False_Call
ENSG00000003393:ENSG00000282917	95%	10GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000005007:ENSG00000250025	85%	100GB	positive	FusionSeeker	false_fusion	27	1	False_Call
ENSG00000005007:ENSG00000250025	90%	100GB	positive	FusionSeeker	false_fusion	26	1	False_Call
ENSG00000005007:ENSG00000250025	95%	100GB	positive	FusionSeeker	false_fusion	23	1	False_Call
ENSG00000005007:ENSG00000271724	85%	100GB	positive	Genion	reverse_order: hybrid	26	1	Partial_Recall
ENSG00000005007:ENSG00000271724	90%	100GB	positive	Genion	reverse_order: hybrid	24	1	Partial_Recall
ENSG00000005007:ENSG00000271724	95%	100GB	positive	Genion	reverse_order: hybrid	23	1	Partial_Recall
ENSG00000005381:ENSG00000167419	85%	100GB	positive	Genion	reverse_order: read_through	14	1	Partial_Recall
ENSG00000005381:ENSG00000167419	90%	100GB	positive	Genion	reverse_order: read_through	20	1	Partial_Recall
ENSG00000005381:ENSG00000167419	90%	10GB	positive	GFSeeker	reverse_order: read_through	7	1	Partial_Recall
ENSG00000005381:ENSG00000167419	95%	100GB	positive	Genion	reverse_order: read_through	9	1	Partial_Recall
ENSG00000006016:ENSG00000034510	90%	100GB	negative	JAFFAL	false_fusion	2	2	False_Call
ENSG00000006016:ENSG00000034510	90%	100GB	negative	LongGF	false_fusion	2	2	False_Call
ENSG00000006016:ENSG00000186854	90%	100GB	negative	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000006530:ENSG00000228819	85%	100GB	positive	FusionSeeker	false_fusion	3	1	False_Call
ENSG00000007372:ENSG00000170919	85%	100GB	negative	FusionSeeker	false_fusion	5	1	False_Call
ENSG00000007372:ENSG00000170919	85%	100GB	positive	FusionSeeker	false_fusion	6	1	False_Call
ENSG00000007372:ENSG00000170919	90%	100GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000007372:ENSG00000170919	95%	100GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000007372:ENSG00000285283	85%	100GB	negative	FusionSeeker	false_fusion:Sense-Antisense	23	1	False_Call
ENSG00000007372:ENSG00000285283	85%	100GB	positive	FusionSeeker	false_fusion:Sense-Antisense	22	1	False_Call
ENSG00000007372:ENSG00000285283	85%	10GB	positive	FusionSeeker	false_fusion:Sense-Antisense	2	1	False_Call
ENSG00000007372:ENSG00000285283	90%	100GB	negative	FusionSeeker	false_fusion:Sense-Antisense	40	1	False_Call
ENSG00000007372:ENSG00000285283	90%	100GB	positive	FusionSeeker	false_fusion:Sense-Antisense	40	1	False_Call
ENSG00000007372:ENSG00000285283	90%	10GB	negative	FusionSeeker	false_fusion:Sense-Antisense	3	1	False_Call
ENSG00000007372:ENSG00000285283	90%	10GB	positive	FusionSeeker	false_fusion:Sense-Antisense	2	1	False_Call
ENSG00000007372:ENSG00000285283	95%	100GB	negative	FusionSeeker	false_fusion:Sense-Antisense	70	1	False_Call
ENSG00000007372:ENSG00000285283	95%	100GB	positive	FusionSeeker	false_fusion:Sense-Antisense	60	1	False_Call
ENSG00000007372:ENSG00000285283	95%	10GB	negative	FusionSeeker	false_fusion:Sense-Antisense	3	1	False_Call
ENSG00000007372:ENSG00000285283	95%	10GB	positive	FusionSeeker	false_fusion:Sense-Antisense	5	1	False_Call
ENSG00000008018:ENSG00000131469	90%	100GB	negative	LongGF	false_fusion	2	1	False_Call
ENSG00000008988:ENSG00000210082	95%	100GB	positive	FusionSeeker	false_fusion:mitochondrial_genomic	2	1	False_Call
ENSG00000009830:ENSG00000087258	85%	100GB	positive	CTAT-LR-Fusion	hybrid	35	5	True_Recall
ENSG00000009830:ENSG00000087258	85%	100GB	positive	FusionSeeker	hybrid	36	5	True_Recall
ENSG00000009830:ENSG00000087258	85%	100GB	positive	Genion	hybrid	37	5	True_Recall
ENSG00000009830:ENSG00000087258	85%	100GB	positive	JAFFAL	hybrid	27	5	True_Recall
ENSG00000009830:ENSG00000087258	85%	100GB	positive	LongGF	hybrid	29	5	True_Recall
ENSG00000009830:ENSG00000087258	85%	10GB	positive	CTAT-LR-Fusion	hybrid	3	3	True_Recall
ENSG00000009830:ENSG00000087258	85%	10GB	positive	FusionSeeker	hybrid	3	3	True_Recall
ENSG00000009830:ENSG00000087258	85%	10GB	positive	LongGF	hybrid	2	3	True_Recall
ENSG00000009830:ENSG00000087258	90%	100GB	positive	CTAT-LR-Fusion	hybrid	37	5	True_Recall
ENSG00000009830:ENSG00000087258	90%	100GB	positive	FusionSeeker	hybrid	36	5	True_Recall
ENSG00000009830:ENSG00000087258	90%	100GB	positive	Genion	hybrid	37	5	True_Recall
ENSG00000009830:ENSG00000087258	90%	100GB	positive	JAFFAL	hybrid	34	5	True_Recall
ENSG00000009830:ENSG00000087258	90%	100GB	positive	LongGF	hybrid	32	5	True_Recall
ENSG00000009830:ENSG00000087258	90%	10GB	positive	CTAT-LR-Fusion	hybrid	4	5	True_Recall
ENSG00000009830:ENSG00000087258	90%	10GB	positive	FusionSeeker	hybrid	3	5	True_Recall
ENSG00000009830:ENSG00000087258	90%	10GB	positive	GFSeeker	hybrid	5	5	True_Recall
ENSG00000009830:ENSG00000087258	90%	10GB	positive	JAFFAL	hybrid	3	5	True_Recall
ENSG00000009830:ENSG00000087258	90%	10GB	positive	LongGF	hybrid	3	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	CTAT-LR-Fusion	hybrid	29	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	FusionSeeker	hybrid	29	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	Genion	hybrid	30	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	JAFFAL	hybrid	30	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	100GB	positive	LongGF	hybrid	26	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	10GB	positive	CTAT-LR-Fusion	hybrid	2	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	10GB	positive	FusionSeeker	hybrid	2	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	10GB	positive	GFSeeker	hybrid	3	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	10GB	positive	JAFFAL	hybrid	2	5	True_Recall
ENSG00000009830:ENSG00000087258	95%	10GB	positive	LongGF	hybrid	2	5	True_Recall
ENSG00000010318:ENSG00000163930	95%	10GB	positive	GFSeeker	reverse_order: read_through	3	1	Partial_Recall
ENSG00000010671:ENSG00000153684	85%	100GB	positive	JAFFAL	false_fusion	3	1	False_Call
ENSG00000010671:ENSG00000153684	90%	100GB	positive	JAFFAL	false_fusion	3	1	False_Call
ENSG00000010671:ENSG00000153684	95%	100GB	positive	Genion	false_fusion	11	2	False_Call
ENSG00000010671:ENSG00000153684	95%	100GB	positive	JAFFAL	false_fusion	8	2	False_Call
ENSG00000010671:ENSG00000183629	90%	100GB	positive	Genion	truncated_tri_fusion	14	2	Partial_Recall
ENSG00000010671:ENSG00000183629	90%	100GB	positive	JAFFAL	truncated_tri_fusion	6	2	Partial_Recall
ENSG00000010671:ENSG00000183629	95%	100GB	positive	Genion	truncated_tri_fusion	15	2	Partial_Recall
ENSG00000010671:ENSG00000183629	95%	100GB	positive	JAFFAL	truncated_tri_fusion	14	2	Partial_Recall
ENSG00000010671:ENSG00000183629	95%	10GB	positive	JAFFAL	truncated_tri_fusion	2	1	Partial_Recall
ENSG00000010671:ENSG00000183629	95%	1GB	positive	JAFFAL	truncated_tri_fusion	2	1	Partial_Recall
ENSG00000011009:ENSG00000278249	85%	100GB	positive	FusionSeeker	false_fusion	12	2	False_Call
ENSG00000011009:ENSG00000278249	85%	100GB	positive	Genion	false_fusion	14	2	False_Call
ENSG00000011009:ENSG00000278249	90%	100GB	positive	FusionSeeker	false_fusion	30	2	False_Call
ENSG00000011009:ENSG00000278249	90%	100GB	positive	Genion	false_fusion	33	2	False_Call
ENSG00000011009:ENSG00000278249	90%	10GB	positive	FusionSeeker	false_fusion	5	2	False_Call
ENSG00000011009:ENSG00000278249	90%	10GB	positive	Genion	false_fusion	6	2	False_Call
ENSG00000011009:ENSG00000278249	90%	1GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000011009:ENSG00000278249	95%	100GB	positive	FusionSeeker	false_fusion	22	2	False_Call
ENSG00000011009:ENSG00000278249	95%	100GB	positive	Genion	false_fusion	27	2	False_Call
ENSG00000011009:ENSG00000278249	95%	10GB	positive	FusionSeeker	false_fusion	4	1	False_Call
ENSG00000011052:ENSG00000204628	90%	100GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000011275:ENSG00000165383	85%	100GB	positive	JAFFAL	truncated_tri_fusion	16	1	Partial_Recall
ENSG00000011275:ENSG00000165383	85%	10GB	positive	GFSeeker	truncated_tri_fusion	3	2	Partial_Recall
ENSG00000011275:ENSG00000165383	85%	10GB	positive	JAFFAL	truncated_tri_fusion	4	2	Partial_Recall
ENSG00000011275:ENSG00000165383	90%	100GB	positive	Genion	truncated_tri_fusion	20	2	Partial_Recall
ENSG00000011275:ENSG00000165383	90%	100GB	positive	JAFFAL	truncated_tri_fusion	24	2	Partial_Recall
ENSG00000011275:ENSG00000165383	90%	10GB	positive	JAFFAL	truncated_tri_fusion	3	1	Partial_Recall
ENSG00000011275:ENSG00000165383	90%	1GB	positive	GFSeeker	truncated_tri_fusion	2	1	Partial_Recall
ENSG00000011275:ENSG00000165383	95%	100GB	positive	Genion	truncated_tri_fusion	20	2	Partial_Recall
ENSG00000011275:ENSG00000165383	95%	100GB	positive	JAFFAL	truncated_tri_fusion	32	2	Partial_Recall
ENSG00000011275:ENSG00000165383	95%	10GB	positive	JAFFAL	truncated_tri_fusion	3	1	Partial_Recall
ENSG00000011295:ENSG00000137818	85%	100GB	negative	CTAT-LR-Fusion	false_fusion	761	1	False_Call
ENSG00000011295:ENSG00000137818	85%	100GB	positive	CTAT-LR-Fusion	false_fusion	704	1	False_Call
ENSG00000011295:ENSG00000137818	85%	10GB	negative	CTAT-LR-Fusion	false_fusion	79	1	False_Call
ENSG00000011295:ENSG00000137818	85%	10GB	positive	CTAT-LR-Fusion	false_fusion	50	1	False_Call
ENSG00000011295:ENSG00000137818	85%	1GB	positive	CTAT-LR-Fusion	false_fusion	5	1	False_Call
ENSG00000011295:ENSG00000137818	90%	100GB	negative	CTAT-LR-Fusion	false_fusion	172	1	False_Call
ENSG00000011295:ENSG00000137818	90%	100GB	positive	CTAT-LR-Fusion	false_fusion	180	1	False_Call
ENSG00000011295:ENSG00000137818	90%	10GB	positive	CTAT-LR-Fusion	false_fusion	16	1	False_Call
ENSG00000013297:ENSG00000285051	85%	100GB	negative	CTAT-LR-Fusion	false_fusion	33	1	False_Call
ENSG00000013297:ENSG00000285051	85%	100GB	positive	CTAT-LR-Fusion	false_fusion	19	1	False_Call
ENSG00000013297:ENSG00000285051	85%	10GB	negative	CTAT-LR-Fusion	false_fusion	4	1	False_Call
ENSG00000013297:ENSG00000285051	90%	100GB	negative	CTAT-LR-Fusion	false_fusion	33	1	False_Call
ENSG00000013297:ENSG00000285051	90%	100GB	positive	CTAT-LR-Fusion	false_fusion	43	1	False_Call
ENSG00000013297:ENSG00000285051	90%	10GB	negative	CTAT-LR-Fusion	false_fusion	4	1	False_Call
ENSG00000013297:ENSG00000285051	90%	10GB	positive	CTAT-LR-Fusion	false_fusion	3	1	False_Call
ENSG00000013297:ENSG00000285051	95%	100GB	negative	CTAT-LR-Fusion	false_fusion	45	1	False_Call
ENSG00000013297:ENSG00000285051	95%	100GB	positive	CTAT-LR-Fusion	false_fusion	42	1	False_Call
ENSG00000013297:ENSG00000285051	95%	10GB	negative	CTAT-LR-Fusion	false_fusion	4	1	False_Call
ENSG00000013297:ENSG00000285051	95%	10GB	positive	CTAT-LR-Fusion	false_fusion	4	1	False_Call
ENSG00000013297:ENSG00000285218	85%	100GB	negative	FusionSeeker	false_fusion	35	1	False_Call
ENSG00000013297:ENSG00000285218	85%	100GB	positive	FusionSeeker	false_fusion	20	1	False_Call
ENSG00000013297:ENSG00000285218	85%	10GB	negative	FusionSeeker	false_fusion	4	1	False_Call
ENSG00000013297:ENSG00000285218	90%	100GB	negative	FusionSeeker	false_fusion	34	1	False_Call
ENSG00000013297:ENSG00000285218	90%	100GB	positive	FusionSeeker	false_fusion	43	1	False_Call
ENSG00000013297:ENSG00000285218	90%	10GB	negative	FusionSeeker	false_fusion	4	1	False_Call
ENSG00000013297:ENSG00000285218	90%	10GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000013297:ENSG00000285218	95%	100GB	negative	FusionSeeker	false_fusion	45	1	False_Call
ENSG00000013297:ENSG00000285218	95%	100GB	positive	FusionSeeker	false_fusion	41	1	False_Call
ENSG00000013297:ENSG00000285218	95%	10GB	negative	FusionSeeker	false_fusion	4	1	False_Call
ENSG00000013297:ENSG00000285218	95%	10GB	positive	FusionSeeker	false_fusion	4	1	False_Call
ENSG00000013503:ENSG00000111785	85%	100GB	negative	LongGF	false_fusion	8	1	False_Call
ENSG00000013503:ENSG00000111785	85%	100GB	positive	LongGF	false_fusion	6	1	False_Call
ENSG00000013503:ENSG00000111785	85%	10GB	positive	CTAT-LR-Fusion	false_fusion	2	1	False_Call
ENSG00000013503:ENSG00000111785	90%	100GB	negative	CTAT-LR-Fusion	false_fusion	21	2	False_Call
ENSG00000013503:ENSG00000111785	90%	100GB	negative	LongGF	false_fusion	22	2	False_Call
ENSG00000013503:ENSG00000111785	90%	100GB	positive	CTAT-LR-Fusion	false_fusion	23	2	False_Call
ENSG00000013503:ENSG00000111785	90%	100GB	positive	LongGF	false_fusion	17	2	False_Call
ENSG00000013503:ENSG00000111785	90%	10GB	negative	LongGF	false_fusion	3	1	False_Call
ENSG00000013503:ENSG00000111785	95%	100GB	negative	LongGF	false_fusion	34	1	False_Call
ENSG00000013503:ENSG00000111785	95%	100GB	positive	LongGF	false_fusion	32	1	False_Call
ENSG00000013503:ENSG00000111785	95%	10GB	negative	LongGF	false_fusion	3	1	False_Call
ENSG00000013503:ENSG00000111785	95%	10GB	positive	LongGF	false_fusion	2	1	False_Call
ENSG00000013503:ENSG00000257545	85%	100GB	negative	FusionSeeker	false_fusion:Sense-Antisense	29	1	False_Call
ENSG00000013503:ENSG00000257545	85%	100GB	positive	FusionSeeker	false_fusion:Sense-Antisense	38	1	False_Call
ENSG00000013503:ENSG00000257545	85%	10GB	negative	FusionSeeker	false_fusion:Sense-Antisense	2	1	False_Call
ENSG00000013503:ENSG00000257545	85%	10GB	positive	FusionSeeker	false_fusion:Sense-Antisense	3	1	False_Call
ENSG00000013503:ENSG00000257545	90%	100GB	negative	FusionSeeker	false_fusion:Sense-Antisense	64	1	False_Call
ENSG00000013503:ENSG00000257545	90%	100GB	positive	FusionSeeker	false_fusion:Sense-Antisense	72	1	False_Call
ENSG00000013503:ENSG00000257545	90%	10GB	negative	FusionSeeker	false_fusion:Sense-Antisense	9	1	False_Call
ENSG00000013503:ENSG00000257545	90%	10GB	positive	FusionSeeker	false_fusion:Sense-Antisense	5	1	False_Call
ENSG00000013503:ENSG00000257545	90%	1GB	negative	FusionSeeker	false_fusion:Sense-Antisense	3	1	False_Call
ENSG00000013503:ENSG00000257545	95%	100GB	negative	FusionSeeker	false_fusion:Sense-Antisense	82	1	False_Call
ENSG00000013503:ENSG00000257545	95%	100GB	positive	FusionSeeker	false_fusion:Sense-Antisense	77	1	False_Call
ENSG00000013503:ENSG00000257545	95%	10GB	negative	FusionSeeker	false_fusion:Sense-Antisense	9	1	False_Call
ENSG00000013503:ENSG00000257545	95%	10GB	positive	FusionSeeker	false_fusion:Sense-Antisense	9	1	False_Call
ENSG00000013503:ENSG00000257545	95%	1GB	negative	FusionSeeker	false_fusion:Sense-Antisense	3	1	False_Call
ENSG00000020256:ENSG00000136444	85%	100GB	positive	Genion	hybrid	45	1	True_Recall
ENSG00000020256:ENSG00000136444	85%	10GB	positive	CTAT-LR-Fusion	hybrid	2	1	True_Recall
ENSG00000020256:ENSG00000136444	90%	100GB	positive	Genion	hybrid	42	1	True_Recall
ENSG00000020256:ENSG00000136444	95%	100GB	positive	Genion	hybrid	41	1	True_Recall
ENSG00000020256:ENSG00000136444	95%	10GB	positive	CTAT-LR-Fusion	hybrid	2	1	True_Recall
ENSG00000021461:ENSG00000261511	85%	100GB	positive	Genion	false_fusion	2	1	False_Call
ENSG00000021461:ENSG00000261511	90%	100GB	negative	Genion	false_fusion	2	1	False_Call
ENSG00000021645:ENSG00000258637	85%	100GB	negative	FusionSeeker	false_fusion:Sense-Antisense	26	1	False_Call
ENSG00000021645:ENSG00000258637	85%	100GB	positive	FusionSeeker	false_fusion:Sense-Antisense	17	1	False_Call
ENSG00000021645:ENSG00000258637	85%	10GB	negative	FusionSeeker	false_fusion:Sense-Antisense	2	1	False_Call
ENSG00000021645:ENSG00000258637	85%	10GB	positive	FusionSeeker	false_fusion:Sense-Antisense	2	1	False_Call
ENSG00000021645:ENSG00000258637	90%	100GB	negative	FusionSeeker	false_fusion:Sense-Antisense	3	1	False_Call
ENSG00000021645:ENSG00000258637	90%	100GB	positive	FusionSeeker	false_fusion:Sense-Antisense	2	1	False_Call
ENSG00000021776:ENSG00000091513	90%	100GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000022567:ENSG00000105339	85%	100GB	positive	LongGF	reverse_order: read_through	14	1	Partial_Recall
ENSG00000022567:ENSG00000105339	90%	100GB	positive	Genion	reverse_order: read_through	17	2	Partial_Recall
ENSG00000022567:ENSG00000105339	90%	100GB	positive	LongGF	reverse_order: read_through	23	2	Partial_Recall
ENSG00000022567:ENSG00000105339	90%	10GB	positive	LongGF	reverse_order: read_through	5	1	Partial_Recall
ENSG00000022567:ENSG00000105339	95%	100GB	positive	Genion	reverse_order: read_through	14	2	Partial_Recall
ENSG00000022567:ENSG00000105339	95%	100GB	positive	LongGF	reverse_order: read_through	29	2	Partial_Recall
ENSG00000025708:ENSG00000227188	95%	100GB	positive	JAFFAL	intra_chromosome	2	1	True_Recall
ENSG00000033122:ENSG00000066557	85%	100GB	positive	FusionSeeker	false_fusion	23	1	False_Call
ENSG00000033122:ENSG00000066557	85%	10GB	positive	FusionSeeker	false_fusion	10	1	False_Call
ENSG00000033122:ENSG00000066557	90%	100GB	positive	FusionSeeker	false_fusion	43	1	False_Call
ENSG00000033122:ENSG00000066557	90%	10GB	positive	FusionSeeker	false_fusion	6	1	False_Call
ENSG00000033122:ENSG00000066557	95%	100GB	positive	FusionSeeker	false_fusion	65	1	False_Call
ENSG00000033122:ENSG00000066557	95%	10GB	positive	FusionSeeker	false_fusion	4	1	False_Call
ENSG00000033122:ENSG00000164924	85%	100GB	positive	FusionSeeker	false_fusion	57	1	False_Call
ENSG00000033122:ENSG00000164924	85%	10GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000033122:ENSG00000164924	90%	100GB	positive	FusionSeeker	false_fusion	102	1	False_Call
ENSG00000033122:ENSG00000164924	90%	10GB	positive	FusionSeeker	false_fusion	18	1	False_Call
ENSG00000033122:ENSG00000164924	95%	100GB	positive	FusionSeeker	false_fusion	108	1	False_Call
ENSG00000033122:ENSG00000228784	85%	100GB	positive	FusionSeeker	false_fusion	44	1	False_Call
ENSG00000033122:ENSG00000228784	85%	10GB	positive	FusionSeeker	false_fusion	8	1	False_Call
ENSG00000033122:ENSG00000228784	90%	100GB	positive	FusionSeeker	false_fusion	48	1	False_Call
ENSG00000033122:ENSG00000228784	90%	10GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000033122:ENSG00000228784	95%	100GB	positive	FusionSeeker	false_fusion	53	1	False_Call
ENSG00000033122:ENSG00000228784	95%	10GB	positive	FusionSeeker	false_fusion	4	1	False_Call
ENSG00000034053:ENSG00000069329	85%	100GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	5	1	Partial_Recall
ENSG00000034053:ENSG00000069329	90%	100GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	26	1	Partial_Recall
ENSG00000034053:ENSG00000069329	90%	10GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	4	1	Partial_Recall
ENSG00000034053:ENSG00000069329	95%	100GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	41	1	Partial_Recall
ENSG00000034053:ENSG00000069329	95%	10GB	positive	FusionSeeker	reverse_order:truncated_tri_fusion	6	1	Partial_Recall
ENSG00000034053:ENSG00000077782	85%	100GB	positive	FusionSeeker	truncated_tri_fusion	10	2	Partial_Recall
ENSG00000034053:ENSG00000077782	85%	100GB	positive	JAFFAL	truncated_tri_fusion	4	2	Partial_Recall
ENSG00000034053:ENSG00000077782	90%	100GB	positive	FusionSeeker	truncated_tri_fusion	35	2	Partial_Recall
ENSG00000034053:ENSG00000077782	90%	100GB	positive	JAFFAL	truncated_tri_fusion	14	2	Partial_Recall
ENSG00000034053:ENSG00000077782	90%	10GB	positive	FusionSeeker	truncated_tri_fusion	6	2	Partial_Recall
ENSG00000034053:ENSG00000077782	90%	10GB	positive	JAFFAL	truncated_tri_fusion	2	2	Partial_Recall
ENSG00000034053:ENSG00000077782	95%	100GB	positive	FusionSeeker	truncated_tri_fusion	41	2	Partial_Recall
ENSG00000034053:ENSG00000077782	95%	100GB	positive	JAFFAL	truncated_tri_fusion	27	2	Partial_Recall
ENSG00000034053:ENSG00000077782	95%	10GB	positive	FusionSeeker	truncated_tri_fusion	3	2	Partial_Recall
ENSG00000034053:ENSG00000077782	95%	10GB	positive	JAFFAL	truncated_tri_fusion	3	2	Partial_Recall
ENSG00000036672:ENSG00000137860	90%	10GB	positive	GFSeeker	reverse_order:truncated_tri_fusion	2	1	Partial_Recall
ENSG00000036672:ENSG00000137860	95%	10GB	positive	GFSeeker	reverse_order:truncated_tri_fusion	4	1	Partial_Recall
ENSG00000036672:ENSG00000140459	85%	100GB	positive	FusionSeeker	false_fusion	32	2	False_Call
ENSG00000036672:ENSG00000140459	85%	100GB	positive	LongGF	false_fusion	30	2	False_Call
ENSG00000036672:ENSG00000140459	90%	100GB	positive	FusionSeeker	false_fusion	32	2	False_Call
ENSG00000036672:ENSG00000140459	90%	100GB	positive	LongGF	false_fusion	27	2	False_Call
ENSG00000036672:ENSG00000140459	90%	10GB	positive	FusionSeeker	false_fusion	3	2	False_Call
ENSG00000036672:ENSG00000140459	90%	10GB	positive	LongGF	false_fusion	2	2	False_Call
ENSG00000036672:ENSG00000140459	95%	100GB	positive	FusionSeeker	false_fusion	29	2	False_Call
ENSG00000036672:ENSG00000140459	95%	100GB	positive	LongGF	false_fusion	27	2	False_Call
ENSG00000036672:ENSG00000140459	95%	10GB	positive	FusionSeeker	false_fusion	5	2	False_Call
ENSG00000036672:ENSG00000140459	95%	10GB	positive	LongGF	false_fusion	5	2	False_Call
ENSG00000036672:ENSG00000259520	85%	100GB	positive	FusionSeeker	false_fusion	16	1	False_Call
ENSG00000036672:ENSG00000259520	90%	100GB	positive	FusionSeeker	false_fusion	24	1	False_Call
ENSG00000036672:ENSG00000259520	90%	10GB	positive	FusionSeeker	false_fusion	2	1	False_Call
ENSG00000036672:ENSG00000259520	95%	100GB	positive	FusionSeeker	false_fusion	22	1	False_Call
ENSG00000036672:ENSG00000259520	95%	10GB	positive	FusionSeeker	false_fusion	4	1	False_Call
ENSG00000036672:ENSG00000261821	85%	100GB	positive	CTAT-LR-Fusion	truncated_tri_fusion	23	2	Partial_Recall
ENSG00000036672:ENSG00000261821	85%	100GB	positive	JAFFAL	truncated_tri_fusion	30	2	Partial_Recall
ENSG00000036672:ENSG00000261821	90%	100GB	positive	CTAT-LR-Fusion	truncated_tri_fusion	26	2	Partial_Recall
ENSG00000036672:ENSG00000261821	90%	100GB	positive	JAFFAL	truncated_tri_fusion	33	2	Partial_Recall
ENSG00000036672:ENSG00000261821	90%	10GB	positive	CTAT-LR-Fusion	truncated_tri_fusion	2	2	Partial_Recall
ENSG00000036672:ENSG00000261821	90%	10GB	positive	JAFFAL	truncated_tri_fusion	3	2	Partial_Recall
ENSG00000036672:ENSG00000261821	95%	100GB	positive	CTAT-LR-Fusion	truncated_tri_fusion	26	2	Partial_Recall
ENSG00000036672:ENSG00000261821	95%	100GB	positive	JAFFAL	truncated_tri_fusion	30	2	Partial_Recall
ENSG00000036672:ENSG00000261821	95%	10GB	positive	CTAT-LR-Fusion	truncated_tri_fusion	4	2	Partial_Recall
ENSG00000036672:ENSG00000261821	95%	10GB	positive	JAFFAL	truncated_tri_fusion	5	2	Partial_Recall
ENSG00000038219:ENSG00000168214	95%	10GB	positive	GFSeeker	reverse_order: intra_chromosome	4	1	Partial_Recall
