read_supp	control	fusion.gene.id	fusionType	depth	Sequence_Identity	Algorithm
2	negative	ENSG00000106927:ENSG00000142534	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000102144:ENSG00000177600	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000110955:ENSG00000197249	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000111640:ENSG00000197249	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000100316:ENSG00000101439	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000099715:ENSG00000102290	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000091513:ENSG00000254772	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000091513:ENSG00000204628	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000115268:ENSG00000204628	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000089157:ENSG00000181163	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000006016:ENSG00000034510	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000071082:ENSG00000131143	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000071082:ENSG00000176153	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000081051:ENSG00000198755	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000118137:ENSG00000168028	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000089157:ENSG00000163631	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000166794:ENSG00000167526	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000008018:ENSG00000131469	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000171858:ENSG00000240972	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000182667:ENSG00000183715	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000188846:ENSG00000198727	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000198712:ENSG00000198888	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000239672:ENSG00000240972	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000130203:ENSG00000197958	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000131469:ENSG00000145192	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000132507:ENSG00000172809	false_fusion	100GB	90%	LongGF
2	negative	ENSG00000147364:ENSG00000158874	false_fusion	100GB	90%	LongGF
58	negative	ENSG00000144642:ENSG00000187398	false_fusion	100GB	95%	LongGF
44	negative	ENSG00000130962:ENSG00000156298	false_fusion	100GB	95%	LongGF
39	negative	ENSG00000068796:ENSG00000086200	false_fusion	100GB	95%	LongGF
34	negative	ENSG00000013503:ENSG00000111785	false_fusion	100GB	95%	LongGF
31	negative	ENSG00000187398:ENSG00000283563	false_fusion	100GB	95%	LongGF
21	negative	ENSG00000134853:ENSG00000145216	false_fusion	100GB	95%	LongGF
3	negative	ENSG00000087086:ENSG00000198938	false_fusion	100GB	95%	LongGF
3	negative	ENSG00000087086:ENSG00000198804	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000089157:ENSG00000163631	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000091513:ENSG00000167996	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000091513:ENSG00000170889	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000099715:ENSG00000102290	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000100316:ENSG00000163631	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000100316:ENSG00000181019	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000100632:ENSG00000106927	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000101439:ENSG00000204628	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000111640:ENSG00000142937	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000111640:ENSG00000231500	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000112306:ENSG00000144713	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000044574:ENSG00000142541	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000112306:ENSG00000156508	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000112695:ENSG00000142676	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000118137:ENSG00000156508	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000081051:ENSG00000196136	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000089157:ENSG00000149273	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000166441:ENSG00000233927	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000172809:ENSG00000198712	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000188846:ENSG00000204628	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000142937:ENSG00000198899	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000145192:ENSG00000145425	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000145425:ENSG00000166123	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000158874:ENSG00000171858	false_fusion	100GB	95%	LongGF
2	negative	ENSG00000161016:ENSG00000175899	false_fusion	100GB	95%	LongGF
4	negative	ENSG00000144642:ENSG00000187398	false_fusion	10GB	85%	LongGF
3	negative	ENSG00000068796:ENSG00000086200	false_fusion	10GB	85%	LongGF
4	negative	ENSG00000144642:ENSG00000187398	false_fusion	10GB	90%	LongGF
4	negative	ENSG00000130962:ENSG00000156298	false_fusion	10GB	90%	LongGF
4	negative	ENSG00000068796:ENSG00000086200	false_fusion	10GB	90%	LongGF
3	negative	ENSG00000013503:ENSG00000111785	false_fusion	10GB	90%	LongGF
2	negative	ENSG00000134853:ENSG00000145216	false_fusion	10GB	90%	LongGF
4	negative	ENSG00000144642:ENSG00000187398	false_fusion	10GB	95%	LongGF
4	negative	ENSG00000130962:ENSG00000156298	false_fusion	10GB	95%	LongGF
4	negative	ENSG00000068796:ENSG00000086200	false_fusion	10GB	95%	LongGF
3	negative	ENSG00000013503:ENSG00000111785	false_fusion	10GB	95%	LongGF
2	negative	ENSG00000134853:ENSG00000145216	false_fusion	10GB	95%	LongGF
37	positive	ENSG00000117151:ENSG00000169231	false_fusion	100GB	85%	LongGF
35	positive	ENSG00000126777:ENSG00000213983	reverse_order: intra_chromosome	100GB	85%	LongGF
33	positive	ENSG00000143198:ENSG00000167881	truncated_tri_fusion	100GB	85%	LongGF
33	positive	ENSG00000063978:ENSG00000168556	reverse_order: intra_chromosome	100GB	85%	LongGF
31	positive	ENSG00000145216:ENSG00000172922	truncated_tri_fusion	100GB	85%	LongGF
30	positive	ENSG00000036672:ENSG00000140459	false_fusion	100GB	85%	LongGF
29	positive	ENSG00000009830:ENSG00000087258	hybrid	100GB	85%	LongGF
28	positive	ENSG00000085788:ENSG00000108094	reverse_order: hybrid	100GB	85%	LongGF
27	positive	ENSG00000125503:ENSG00000131037	reverse_order: read_through	100GB	85%	LongGF
27	positive	ENSG00000104490:ENSG00000138759	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
27	positive	ENSG00000102898:ENSG00000168675	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
27	positive	ENSG00000102312:ENSG00000221910	truncated_tri_fusion	100GB	85%	LongGF
26	positive	ENSG00000132170:ENSG00000181786	truncated_tri_fusion	100GB	85%	LongGF
26	positive	ENSG00000144642:ENSG00000187398	false_fusion	100GB	85%	LongGF
26	positive	ENSG00000144815:ENSG00000171735	truncated_tri_fusion	100GB	85%	LongGF
26	positive	ENSG00000145734:ENSG00000183476	truncated_tri_fusion	100GB	85%	LongGF
24	positive	ENSG00000146282:ENSG00000153291	intra_chromosome	100GB	85%	LongGF
24	positive	ENSG00000124486:ENSG00000124523	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
24	positive	ENSG00000168676:ENSG00000198677	truncated_tri_fusion	100GB	85%	LongGF
23	positive	ENSG00000106819:ENSG00000124787	truncated_tri_fusion	100GB	85%	LongGF
23	positive	ENSG00000157916:ENSG00000205835	hybrid	100GB	85%	LongGF
23	positive	ENSG00000107872:ENSG00000107874	read_through	100GB	85%	LongGF
22	positive	ENSG00000137707:ENSG00000162302	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
22	positive	ENSG00000147041:ENSG00000284906	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
21	positive	ENSG00000148362:ENSG00000169583	read_through	100GB	85%	LongGF
21	positive	ENSG00000146143:ENSG00000181523	truncated_tri_fusion	100GB	85%	LongGF
21	positive	ENSG00000096746:ENSG00000197321	false_fusion	100GB	85%	LongGF
21	positive	ENSG00000142627:ENSG00000176746	truncated_tri_fusion	100GB	85%	LongGF
21	positive	ENSG00000114923:ENSG00000168591	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
20	positive	ENSG00000114638:ENSG00000121578	read_through	100GB	85%	LongGF
20	positive	ENSG00000166851:ENSG00000206560	truncated_tri_fusion	100GB	85%	LongGF
20	positive	ENSG00000072571:ENSG00000130714	truncated_tri_fusion	100GB	85%	LongGF
19	positive	ENSG00000103160:ENSG00000103415	reverse_order: intra_chromosome	100GB	85%	LongGF
19	positive	ENSG00000104518:ENSG00000104957	reverse_order: hybrid	100GB	85%	LongGF
19	positive	ENSG00000082805:ENSG00000145907	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
19	positive	ENSG00000081985:ENSG00000184619	truncated_tri_fusion	100GB	85%	LongGF
19	positive	ENSG00000168621:ENSG00000168958	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
18	positive	ENSG00000105613:ENSG00000164011	hybrid	100GB	85%	LongGF
18	positive	ENSG00000138380:ENSG00000186487	reverse_order: intra_chromosome	100GB	85%	LongGF
18	positive	ENSG00000142156:ENSG00000249209	false_fusion	100GB	85%	LongGF
17	positive	ENSG00000110887:ENSG00000167588	reverse_order: intra_chromosome	100GB	85%	LongGF
17	positive	ENSG00000066322:ENSG00000175334	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
17	positive	ENSG00000170144:ENSG00000198551	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
16	positive	ENSG00000171109:ENSG00000174306	truncated_tri_fusion	100GB	85%	LongGF
16	positive	ENSG00000096070:ENSG00000104218	truncated_tri_fusion	100GB	85%	LongGF
15	positive	ENSG00000187398:ENSG00000283563	false_fusion	100GB	85%	LongGF
15	positive	ENSG00000082898:ENSG00000106692	reverse_order: hybrid	100GB	85%	LongGF
15	positive	ENSG00000048740:ENSG00000225830	intra_chromosome	100GB	85%	LongGF
14	positive	ENSG00000022567:ENSG00000105339	reverse_order: read_through	100GB	85%	LongGF
14	positive	ENSG00000134853:ENSG00000145216	false_fusion	100GB	85%	LongGF
14	positive	ENSG00000196455:ENSG00000206384	reverse_order: read_through	100GB	85%	LongGF
14	positive	ENSG00000130714:ENSG00000151694	truncated_tri_fusion	100GB	85%	LongGF
13	positive	ENSG00000081985:ENSG00000164756	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
12	positive	ENSG00000198551:ENSG00000284770	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
12	positive	ENSG00000162302:ENSG00000196549	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
12	positive	ENSG00000068796:ENSG00000086200	false_fusion	100GB	85%	LongGF
12	positive	ENSG00000081692:ENSG00000167257	reverse_order: hybrid	100GB	85%	LongGF
11	positive	ENSG00000132300:ENSG00000143891	reverse_order: intra_chromosome	100GB	85%	LongGF
10	positive	ENSG00000111145:ENSG00000124523	false_fusion	100GB	85%	LongGF
10	positive	ENSG00000111596:ENSG00000111727	reverse_order: intra_chromosome	100GB	85%	LongGF
10	positive	ENSG00000105819:ENSG00000214097	truncated_tri_fusion	100GB	85%	LongGF
10	positive	ENSG00000117758:ENSG00000159176	intra_chromosome	100GB	85%	LongGF
9	positive	ENSG00000096070:ENSG00000130396	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
9	positive	ENSG00000130962:ENSG00000156298	false_fusion	100GB	85%	LongGF
8	positive	ENSG00000088035:ENSG00000101003	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
8	positive	ENSG00000049759:ENSG00000147573	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
8	positive	ENSG00000072571:ENSG00000146809	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
7	positive	ENSG00000184634:ENSG00000204256	reverse_order: hybrid	100GB	85%	LongGF
6	positive	ENSG00000013503:ENSG00000111785	false_fusion	100GB	85%	LongGF
6	positive	ENSG00000197976:ENSG00000292345	chromosomal_misalignment:intra_chromosome	100GB	85%	LongGF
5	positive	ENSG00000078699:ENSG00000132003	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
4	positive	ENSG00000087086:ENSG00000089157	false_fusion	100GB	85%	LongGF
4	positive	ENSG00000105819:ENSG00000143633	truncated_tri_fusion	100GB	85%	LongGF
4	positive	ENSG00000128510:ENSG00000185442	reverse_order:truncated_tri_fusion	100GB	85%	LongGF
4	positive	ENSG00000087086:ENSG00000197249	false_fusion	100GB	85%	LongGF
3	positive	ENSG00000163631:ENSG00000198899	false_fusion	100GB	85%	LongGF
3	positive	ENSG00000163631:ENSG00000198938	false_fusion	100GB	85%	LongGF
3	positive	ENSG00000167258:ENSG00000188199	false_fusion	100GB	85%	LongGF
3	positive	ENSG00000214717:ENSG00000292343	false_fusion	100GB	85%	LongGF
3	positive	ENSG00000292343:ENSG00000292345	intra_chromosome	100GB	85%	LongGF
2	positive	ENSG00000159147:ENSG00000241837	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000163586:ENSG00000198886	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000198886:ENSG00000213741	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000176153:ENSG00000198938	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000081051:ENSG00000156508	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000167258:ENSG00000228570	reverse_order: hybrid	100GB	85%	LongGF
2	positive	ENSG00000075624:ENSG00000231500	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000176153:ENSG00000177600	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000108298:ENSG00000111057	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000112306:ENSG00000142541	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000118137:ENSG00000196262	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000123416:ENSG00000198840	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000127184:ENSG00000196136	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000142937:ENSG00000147403	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000145192:ENSG00000156508	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000101182:ENSG00000149657	reverse_order: read_through	100GB	85%	LongGF
2	positive	ENSG00000100316:ENSG00000240972	false_fusion	100GB	85%	LongGF
2	positive	ENSG00000091513:ENSG00000156482	false_fusion	100GB	85%	LongGF
40	positive	ENSG00000068796:ENSG00000086200	false_fusion	100GB	90%	LongGF
40	positive	ENSG00000132170:ENSG00000181786	truncated_tri_fusion	100GB	90%	LongGF
40	positive	ENSG00000144642:ENSG00000187398	false_fusion	100GB	90%	LongGF
39	positive	ENSG00000106819:ENSG00000124787	truncated_tri_fusion	100GB	90%	LongGF
37	positive	ENSG00000063978:ENSG00000168556	reverse_order: intra_chromosome	100GB	90%	LongGF
35	positive	ENSG00000107872:ENSG00000107874	read_through	100GB	90%	LongGF
35	positive	ENSG00000125503:ENSG00000131037	reverse_order: read_through	100GB	90%	LongGF
34	positive	ENSG00000082898:ENSG00000106692	reverse_order: hybrid	100GB	90%	LongGF
34	positive	ENSG00000066322:ENSG00000175334	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
34	positive	ENSG00000096070:ENSG00000104218	truncated_tri_fusion	100GB	90%	LongGF
33	positive	ENSG00000104518:ENSG00000104957	reverse_order: hybrid	100GB	90%	LongGF
33	positive	ENSG00000104490:ENSG00000138759	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
32	positive	ENSG00000148362:ENSG00000169583	read_through	100GB	90%	LongGF
32	positive	ENSG00000124486:ENSG00000124523	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
32	positive	ENSG00000009830:ENSG00000087258	hybrid	100GB	90%	LongGF
32	positive	ENSG00000170144:ENSG00000198551	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
31	positive	ENSG00000143198:ENSG00000167881	truncated_tri_fusion	100GB	90%	LongGF
31	positive	ENSG00000102898:ENSG00000168675	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
30	positive	ENSG00000126777:ENSG00000213983	reverse_order: intra_chromosome	100GB	90%	LongGF
30	positive	ENSG00000146282:ENSG00000153291	intra_chromosome	100GB	90%	LongGF
30	positive	ENSG00000142156:ENSG00000249209	false_fusion	100GB	90%	LongGF
30	positive	ENSG00000166851:ENSG00000206560	truncated_tri_fusion	100GB	90%	LongGF
29	positive	ENSG00000146143:ENSG00000181523	truncated_tri_fusion	100GB	90%	LongGF
29	positive	ENSG00000114638:ENSG00000121578	read_through	100GB	90%	LongGF
29	positive	ENSG00000145216:ENSG00000172922	truncated_tri_fusion	100GB	90%	LongGF
28	positive	ENSG00000144815:ENSG00000171735	truncated_tri_fusion	100GB	90%	LongGF
28	positive	ENSG00000072571:ENSG00000130714	truncated_tri_fusion	100GB	90%	LongGF
27	positive	ENSG00000036672:ENSG00000140459	false_fusion	100GB	90%	LongGF
27	positive	ENSG00000142627:ENSG00000176746	truncated_tri_fusion	100GB	90%	LongGF
27	positive	ENSG00000096746:ENSG00000197321	false_fusion	100GB	90%	LongGF
27	positive	ENSG00000157916:ENSG00000205835	hybrid	100GB	90%	LongGF
26	positive	ENSG00000082805:ENSG00000145907	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
26	positive	ENSG00000102312:ENSG00000221910	truncated_tri_fusion	100GB	90%	LongGF
26	positive	ENSG00000117151:ENSG00000169231	false_fusion	100GB	90%	LongGF
25	positive	ENSG00000048740:ENSG00000225830	intra_chromosome	100GB	90%	LongGF
24	positive	ENSG00000145734:ENSG00000183476	truncated_tri_fusion	100GB	90%	LongGF
24	positive	ENSG00000081692:ENSG00000167257	reverse_order: hybrid	100GB	90%	LongGF
23	positive	ENSG00000171109:ENSG00000174306	truncated_tri_fusion	100GB	90%	LongGF
23	positive	ENSG00000147041:ENSG00000284906	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
23	positive	ENSG00000022567:ENSG00000105339	reverse_order: read_through	100GB	90%	LongGF
22	positive	ENSG00000081985:ENSG00000164756	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
22	positive	ENSG00000081985:ENSG00000184619	truncated_tri_fusion	100GB	90%	LongGF
22	positive	ENSG00000137707:ENSG00000162302	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
22	positive	ENSG00000138380:ENSG00000186487	reverse_order: intra_chromosome	100GB	90%	LongGF
22	positive	ENSG00000114923:ENSG00000168591	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
21	positive	ENSG00000105613:ENSG00000164011	hybrid	100GB	90%	LongGF
21	positive	ENSG00000196455:ENSG00000206384	reverse_order: read_through	100GB	90%	LongGF
21	positive	ENSG00000138115:ENSG00000145216	truncated_tri_fusion	100GB	90%	LongGF
21	positive	ENSG00000110887:ENSG00000167588	reverse_order: intra_chromosome	100GB	90%	LongGF
20	positive	ENSG00000111596:ENSG00000111727	reverse_order: intra_chromosome	100GB	90%	LongGF
20	positive	ENSG00000085788:ENSG00000108094	reverse_order: hybrid	100GB	90%	LongGF
20	positive	ENSG00000130962:ENSG00000156298	false_fusion	100GB	90%	LongGF
20	positive	ENSG00000162302:ENSG00000196549	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
19	positive	ENSG00000132300:ENSG00000143891	reverse_order: intra_chromosome	100GB	90%	LongGF
19	positive	ENSG00000130714:ENSG00000151694	truncated_tri_fusion	100GB	90%	LongGF
19	positive	ENSG00000168621:ENSG00000168958	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
19	positive	ENSG00000198551:ENSG00000284770	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
18	positive	ENSG00000168676:ENSG00000198677	truncated_tri_fusion	100GB	90%	LongGF
18	positive	ENSG00000167258:ENSG00000188199	false_fusion	100GB	90%	LongGF
17	positive	ENSG00000167258:ENSG00000228570	reverse_order: hybrid	100GB	90%	LongGF
17	positive	ENSG00000013503:ENSG00000111785	false_fusion	100GB	90%	LongGF
16	positive	ENSG00000049759:ENSG00000147573	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
16	positive	ENSG00000184634:ENSG00000204256	reverse_order: hybrid	100GB	90%	LongGF
15	positive	ENSG00000187398:ENSG00000283563	false_fusion	100GB	90%	LongGF
14	positive	ENSG00000111145:ENSG00000124523	false_fusion	100GB	90%	LongGF
14	positive	ENSG00000103160:ENSG00000103415	reverse_order: intra_chromosome	100GB	90%	LongGF
14	positive	ENSG00000101182:ENSG00000149657	reverse_order: read_through	100GB	90%	LongGF
14	positive	ENSG00000117758:ENSG00000159176	intra_chromosome	100GB	90%	LongGF
13	positive	ENSG00000088035:ENSG00000101003	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
11	positive	ENSG00000100811:ENSG00000148604	reverse_order: hybrid	100GB	90%	LongGF
11	positive	ENSG00000197976:ENSG00000214717	chromosomal_misalignment:intra_chromosome	100GB	90%	LongGF
10	positive	ENSG00000078699:ENSG00000132003	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
9	positive	ENSG00000120896:ENSG00000221947	reverse_order: intra_chromosome	100GB	90%	LongGF
8	positive	ENSG00000136504:ENSG00000277586	truncated_tri_fusion	100GB	90%	LongGF
8	positive	ENSG00000105819:ENSG00000214097	truncated_tri_fusion	100GB	90%	LongGF
8	positive	ENSG00000143228:ENSG00000196586	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
8	positive	ENSG00000214717:ENSG00000292343	false_fusion	100GB	90%	LongGF
6	positive	ENSG00000099715:ENSG00000102290	false_fusion	100GB	90%	LongGF
6	positive	ENSG00000292343:ENSG00000292345	intra_chromosome	100GB	90%	LongGF
6	positive	ENSG00000128510:ENSG00000185442	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
6	positive	ENSG00000188321:ENSG00000276043	intra_chromosome	100GB	90%	LongGF
5	positive	ENSG00000163631:ENSG00000197249	false_fusion	100GB	90%	LongGF
5	positive	ENSG00000096070:ENSG00000130396	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
5	positive	ENSG00000072571:ENSG00000146809	reverse_order:truncated_tri_fusion	100GB	90%	LongGF
5	positive	ENSG00000197976:ENSG00000292345	chromosomal_misalignment:intra_chromosome	100GB	90%	LongGF
4	positive	ENSG00000087086:ENSG00000163631	false_fusion	100GB	90%	LongGF
3	positive	ENSG00000105819:ENSG00000143633	truncated_tri_fusion	100GB	90%	LongGF
3	positive	ENSG00000141556:ENSG00000197265	truncated_tri_fusion	100GB	90%	LongGF
3	positive	ENSG00000119686:ENSG00000167395	truncated_tri_fusion	100GB	90%	LongGF
3	positive	ENSG00000087086:ENSG00000198938	false_fusion	100GB	90%	LongGF
3	positive	ENSG00000133112:ENSG00000156508	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000204628:ENSG00000231500	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000198755:ENSG00000254772	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000063177:ENSG00000198886	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000181163:ENSG00000254772	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000167526:ENSG00000197756	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000071082:ENSG00000198755	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000074800:ENSG00000081051	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000081051:ENSG00000150991	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000071082:ENSG00000137818	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000111640:ENSG00000131469	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000112306:ENSG00000198888	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000114942:ENSG00000198938	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000115268:ENSG00000166441	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000118137:ENSG00000131143	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000087460:ENSG00000118137	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000089157:ENSG00000162244	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000091513:ENSG00000128272	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000163468:ENSG00000170412	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000159111:ENSG00000173812	false_fusion	100GB	90%	LongGF
2	positive	ENSG00000101255:ENSG00000145192	false_fusion	100GB	90%	LongGF
70	positive	ENSG00000144642:ENSG00000187398	false_fusion	100GB	95%	LongGF
48	positive	ENSG00000114638:ENSG00000121578	read_through	100GB	95%	LongGF
46	positive	ENSG00000110887:ENSG00000167588	reverse_order: intra_chromosome	100GB	95%	LongGF
